  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
     104	 16:31:16	  10.000	  10.000	  104.54	 1003.23	   15.46	   682.1	  -720.9	   207.6	   723.5	   394.8	   342.0	 248.445	   1.211	   243.9	    20.1	  223829	   49.00	   -0.00	    0.87	    0.03	    0.00	  20.476	  15.922	  30.319	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     105	 16:31:39	  10.000	   7.000	  104.89	 1003.17	   15.40	   735.2	  -390.4	   282.6	   585.8	   439.2	   191.5	 248.383	   1.211	   244.7	    20.1	  224253	   49.00	   -0.00	    0.70	    0.03	    0.00	  20.276	  15.883	  30.178	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     106	 16:32:13	  10.000	   3.000	  104.12	 1003.25	   15.37	   663.7	  -384.6	   312.2	   527.2	   435.4	   212.4	 247.415	   1.211	   242.9	    20.0	  223465	   49.00	   -0.00	    0.85	    0.03	    0.00	  19.972	  15.839	  30.167	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     107	 16:32:38	  10.000	   0.005	  104.27	 1003.20	   15.32	   672.6	   -21.4	   404.5	   428.1	   443.7	     3.7	 247.186	   1.212	   243.2	    20.0	  223667	   49.00	   -0.00	    0.81	    0.03	    0.00	  19.760	  15.797	  30.168	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     108	 16:33:12	  10.000	  -4.000	  103.70	 1003.21	   15.28	   715.3	   274.0	   485.8	   329.8	   469.9	  -155.8	 247.223	   1.212	   241.9	    20.0	  223091	   49.00	   -0.00	    0.83	    0.03	    0.00	  19.488	  15.758	  30.341	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     109	 16:33:39	   6.005	  -4.000	  104.84	 1003.14	   15.24	   447.4	   325.1	   420.0	   248.1	   283.0	  -188.2	 247.221	   1.212	   244.6	    20.1	  224356	   49.00	   -0.00	    0.70	    0.03	    0.00	  19.289	  15.726	  29.948	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     110	 16:34:01	   6.005	  -0.005	  104.52	 1003.11	   15.23	   433.2	   -50.3	   313.0	   349.3	   276.0	    19.3	 246.182	   1.212	   243.8	    20.1	  224018	   49.00	   -0.00	    0.78	    0.03	    0.00	  19.149	  15.698	  29.999	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     111	 16:34:24	   6.005	   3.000	  103.54	 1003.08	   15.19	   416.8	  -430.7	   217.0	   451.4	   258.0	   242.2	 245.202	   1.212	   241.5	    20.0	  222996	   48.99	   -0.00	    0.89	    0.03	    0.00	  19.011	  15.676	  30.164	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     112	 16:34:47	   6.005	   7.000	  103.48	 1003.15	   15.18	   473.4	  -437.9	   179.1	   507.5	   256.4	   214.7	 246.226	   1.212	   241.4	    20.0	  222948	   49.00	   -0.00	    0.93	    0.03	    0.00	  18.891	  15.668	  30.248	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     113	 16:35:07	   6.005	  10.000	  103.91	 1003.16	   15.16	   456.2	  -755.7	    82.3	   624.2	   229.0	   356.8	 247.266	   1.212	   242.4	    20.0	  223441	   49.00	   -0.00	    0.75	    0.03	    0.00	  18.783	  15.660	  30.359	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     114	 16:35:28	   3.000	  10.000	  104.36	 1003.14	   15.14	   379.3	  -810.8	   -48.0	   524.6	   157.1	   396.1	 247.246	   1.212	   243.5	    20.0	  223939	   49.00	   -0.00	    0.71	    0.03	    0.00	  18.681	  15.649	  30.285	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     115	 16:35:50	   3.000	   7.000	  103.96	 1003.09	   15.12	   398.0	  -429.3	    59.3	   382.6	   201.1	   213.4	 246.220	   1.212	   242.5	    20.0	  223517	   49.00	   -0.00	    0.67	    0.03	    0.00	  18.580	  15.638	  30.204	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     116	 16:36:14	   3.000	   3.000	  104.44	 1003.09	   15.11	   335.7	  -402.9	   104.1	   323.2	   197.9	   230.9	 245.231	   1.212	   243.6	    20.0	  224050	   49.00	   -0.00	    0.81	    0.03	    0.00	  18.464	  15.612	  30.150	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     117	 16:36:54	   3.000	   0.005	  103.93	 1003.09	   15.06	   343.2	   -56.2	   185.0	   228.7	   210.8	    17.5	 244.200	   1.212	   242.4	    20.0	  223545	   49.00	   -0.00	    0.73	    0.03	    0.00	  18.310	  15.579	  30.131	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     118	 16:37:27	   3.000	  -4.000	  104.13	 1003.12	   15.04	   354.5	   336.0	   293.8	   118.4	   220.9	  -197.7	 245.243	   1.213	   242.9	    20.0	  223788	   49.00	   -0.00	    0.61	    0.03	    0.00	  18.185	  15.546	  30.113	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     119	 16:37:49	   0.000	  -4.000	  104.58	 1003.13	   15.04	   311.0	   410.6	   176.0	   -41.8	   213.9	  -244.5	 245.215	   1.213	   244.0	    20.1	  224269	   49.00	   -0.00	    0.69	    0.03	    0.00	  18.107	  15.527	  30.120	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     120	 16:38:33	   0.000	  -0.005	  103.11	 1003.05	   15.02	   296.2	   -56.3	    40.8	    88.9	   206.6	     8.4	 243.175	   1.213	   240.5	    19.9	  222694	   49.00	   -0.00	    0.72	    0.03	    0.00	  17.973	  15.490	  30.189	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     121	 16:39:01	   0.000	   3.000	  104.31	 1003.05	   15.02	   287.7	  -435.1	   -45.8	   191.6	   191.6	   253.6	 244.247	   1.213	   243.4	    20.0	  223993	   49.00	   -0.00	    0.77	    0.03	    0.00	  17.898	  15.480	  30.207	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     122	 16:39:29	   0.000	   7.000	  103.95	 1003.09	   15.02	   298.7	  -774.6	  -141.5	   315.7	   170.5	   419.5	 245.178	   1.213	   242.5	    20.0	  223608	   49.00	   -0.00	    0.67	    0.03	    0.00	  17.821	  15.460	  30.262	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     123	 16:39:50	   0.000	  10.000	  104.12	 1003.09	   15.01	   341.8	  -862.0	  -205.0	   393.9	   163.8	   429.4	 246.233	   1.213	   242.9	    20.0	  223804	   49.00	   -0.00	    0.80	    0.03	    0.00	  17.758	  15.447	  30.343	   0.147	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
