  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
     155	   1.995	   1.995	  0.4435	0.016826	 0.04029	-0.00544	-0.000038	  0.4438	0.040853	 0.00608	-0.11638	-0.00870	0.015413	-0.040853	0.443496	-0.00087	-0.11889	-0.00891	    1.32	   -2.29	   25.40	   -0.07	   -0.97	   -0.70	  103.99	 1002.63	   14.74	   1.213	   242.6	   20.00	1.739E+5	   0.059
     156	   1.995	   1.995	  0.4405	0.005506	 0.04752	-0.00573	-0.011490	  0.4403	0.047683	 0.00757	-0.11582	-0.00728	0.003849	-0.047683	0.440469	-0.00045	-0.11644	-0.00755	    2.69	  -10.70	  101.06	   -0.14	   -3.81	   -2.37	  414.62	 1002.53	   15.00	   1.212	   971.7	   40.04	3.477E+5	   0.118
     157	   1.995	   1.995	  0.4342	0.035532	 0.05055	 0.02075	0.018612	  0.4351	0.051760	 0.00719	-0.08802	-0.01256	0.033750	-0.051760	0.434179	-0.00167	-0.09352	-0.01282	    9.38	  -11.59	   99.37	   -0.52	   -2.95	   -4.02	  413.47	 1002.60	   15.16	   1.211	   969.0	   40.00	3.470E+5	   0.118
     158	   1.995	   1.995	  0.4347	0.045051	 0.04501	 0.02359	0.028294	  0.4360	0.046552	 0.00529	-0.08541	-0.01325	0.043457	-0.046552	0.434746	-0.00274	-0.09248	-0.01345	    2.89	   -2.61	   24.92	   -0.22	   -0.73	   -1.06	  104.04	 1002.51	   14.92	   1.212	   242.7	   20.01	1.738E+5	   0.059
     159	   1.995	   1.995	  0.4407	0.045490	 0.05551	 0.01709	0.028159	  0.4420	0.057062	 0.00965	-0.09340	-0.01915	0.043530	-0.057062	0.440705	-0.00031	-0.10048	-0.01950	    2.90	   -3.20	   25.28	   -0.02	   -0.80	   -1.53	  104.15	 1002.44	   14.68	   1.213	   243.0	   20.01	1.741E+5	   0.059
     160	   1.995	   1.995	  0.4392	0.036004	 0.06368	 0.00697	0.018453	  0.4401	0.064895	 0.01091	-0.10306	-0.01824	0.033765	-0.064895	0.439179	-0.00029	-0.10855	-0.01863	    9.38	  -14.53	  100.51	   -0.09	   -3.51	   -5.84	  413.55	 1002.38	   14.99	   1.212	   969.2	   39.99	3.472E+5	   0.118
     161	   1.995	   1.995	  0.4452	0.005794	 0.05993	-0.02017	-0.011800	  0.4451	0.060096	 0.01110	-0.13144	-0.01261	0.003704	-0.060096	0.445234	 0.00087	-0.13204	-0.01300	    2.65	  -13.43	  101.66	    0.27	   -4.37	   -4.07	  412.70	 1002.39	   15.18	   1.211	   967.2	   39.96	3.466E+5	   0.117
     162	   1.995	   1.995	  0.4440	0.017367	 0.05389	-0.01242	0.000011	  0.4443	0.054458	 0.00974	-0.12349	-0.01403	0.015481	-0.054458	0.444024	 0.00038	-0.12601	-0.01438	    1.32	   -3.05	   25.40	    0.03	   -1.04	   -1.13	  103.88	 1002.35	   14.94	   1.212	   242.3	   20.00	1.737E+5	   0.059
     163	   1.995	   1.995	  0.4439	0.019270	 0.07045	-0.01128	0.001341	  0.4442	0.071078	 0.01450	-0.12232	-0.02149	0.016806	-0.071078	0.443851	 0.00218	-0.12506	-0.02201	    1.40	   -3.99	   25.45	    0.17	   -1.03	   -1.73	  104.12	 1002.21	   14.66	   1.213	   242.9	   20.01	1.741E+5	   0.059
     164	   1.995	   1.995	  0.4443	0.007365	 0.07713	-0.01685	-0.010796	  0.4442	0.077337	 0.01544	-0.12790	-0.01980	0.004676	-0.077337	0.444281	 0.00216	-0.12866	-0.02035	    2.87	  -17.33	  101.73	    0.68	   -4.25	   -6.38	  413.86	 1002.22	   14.98	   1.212	   969.9	   40.01	3.474E+5	   0.118
     165	   1.995	   1.995	  0.4378	0.037437	 0.08080	 0.01059	0.019336	  0.4388	0.082056	 0.01505	-0.09910	-0.02532	0.034602	-0.082056	0.437828	 0.00081	-0.10473	-0.02586	    9.55	  -18.33	   99.98	    0.25	   -3.36	   -8.09	  412.62	 1002.26	   15.18	   1.211	   967.0	   39.96	3.465E+5	   0.117
     166	   1.995	   1.995	  0.4375	0.047701	 0.07273	 0.01809	0.029880	  0.4388	0.074343	 0.01395	-0.09161	-0.02666	0.045141	-0.074343	0.437502	 0.00091	-0.09895	-0.02717	    2.99	   -4.17	   25.11	    0.07	   -0.79	   -2.13	  104.17	 1002.24	   14.93	   1.212	   243.0	   20.03	1.739E+5	   0.059
     167	   1.995	   1.995	  0.4394	0.050741	 0.08632	 0.02485	0.032377	  0.4408	0.088033	 0.01709	-0.08536	-0.03211	0.047706	-0.088033	0.439419	 0.00164	-0.09312	-0.03273	    3.14	   -4.95	   25.24	    0.13	   -0.74	   -2.57	  104.26	 1002.09	   14.64	   1.213	   243.2	   20.03	1.742E+5	   0.059
     168	   1.995	   1.995	  0.4306	0.040815	 0.09030	 0.03305	0.022629	  0.4317	0.091669	 0.01753	-0.07487	-0.02944	0.037646	-0.091669	0.430637	 0.00158	-0.08100	-0.03007	   10.24	  -20.49	   98.46	    0.49	   -2.49	   -9.41	  412.95	 1002.02	   15.06	   1.211	   967.7	   39.98	3.468E+5	   0.117
     169	   1.995	   1.995	  0.4353	0.011099	 0.08496	 0.01107	-0.007026	  0.4353	0.085290	 0.01731	-0.09776	-0.02326	0.008135	-0.085290	0.435298	 0.00261	-0.09908	-0.02387	    3.65	  -19.10	   99.67	    0.82	   -3.16	   -7.48	  413.67	 1002.00	   15.23	   1.210	   969.4	   40.02	3.469E+5	   0.118
     170	   1.995	   1.995	  0.4372	0.022969	 0.07957	 0.00811	0.004950	  0.4376	0.080321	 0.01653	-0.10130	-0.02549	0.020185	-0.080321	0.437210	 0.00256	-0.10459	-0.02609	    1.59	   -4.52	   25.14	    0.20	   -0.84	   -2.05	  104.36	 1002.07	   14.98	   1.212	   243.5	   20.05	1.740E+5	   0.059
