  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
      54	  10.000	  10.000	  1.2292	0.092889	 0.14102	-0.13431	-0.147476	  1.2222	0.155012	 0.03222	-0.43985	-0.02240	0.066990	-0.155012	1.229207	 0.00248	-0.45075	-0.02843	   16.46	  -34.71	  276.92	    0.78	  -16.28	   -8.91	  413.58	 1003.95	   15.19	   1.213	   969.2	   39.98	3.472E+5	   0.117
      55	  10.000	   7.000	  1.1916	0.075876	 0.13941	-0.10352	-0.149474	  1.1836	0.147619	 0.01973	-0.39941	-0.02928	0.058320	-0.147619	1.191551	-0.00984	-0.40890	-0.03321	   14.58	  -33.18	  269.53	   -3.10	  -14.79	  -10.45	  415.16	 1003.92	   15.28	   1.213	   973.0	   40.06	3.477E+5	   0.118
      56	  10.000	   3.000	  1.1285	0.070431	 0.05182	-0.11244	-0.129373	  1.1231	0.055438	 0.01042	-0.39322	-0.00909	0.067622	-0.055438	1.128539	-0.00039	-0.40422	-0.01107	   16.66	  -12.45	  255.18	   -0.12	  -14.60	   -3.48	  414.86	 1003.88	   15.32	   1.212	   972.2	   40.05	3.475E+5	   0.118
      57	  10.000	   0.005	  1.1094	0.068833	-0.00176	-0.10724	-0.124852	  1.1045	-0.001754	 0.00294	-0.38336	 0.00522	0.068833	0.001754	1.109370	 0.00412	-0.39456	 0.00478	   16.89	    0.39	  250.26	    1.29	  -14.21	    1.50	  413.86	 1003.81	   15.35	   1.212	   969.9	   40.00	3.471E+5	   0.117
      58	  10.000	  -4.000	  1.1403	0.074297	-0.07529	-0.11337	-0.130193	  1.1349	-0.080294	-0.00740	-0.39710	 0.02553	0.068864	0.080294	1.140304	 0.01035	-0.40831	 0.02723	   16.88	   17.97	  256.93	    3.24	  -14.70	    8.53	  413.44	 1003.73	   15.37	   1.212	   968.9	   39.99	3.469E+5	   0.117
      59	   6.005	  -4.000	  0.8757	0.028974	-0.08271	-0.02244	-0.068597	  0.8733	-0.084529	-0.00734	-0.24077	 0.02842	0.023134	0.084529	0.875703	 0.00946	-0.24453	 0.02935	    6.84	   18.96	  199.13	    2.97	   -8.69	    9.22	  414.35	 1003.71	   15.38	   1.212	   971.0	   40.03	3.472E+5	   0.118
      60	   6.005	  -0.005	  0.8644	0.023019	 0.00450	-0.00297	-0.067529	  0.8621	0.004499	 0.00283	-0.21848	 0.00469	0.023019	-0.004499	0.864395	 0.00258	-0.22223	 0.00442	    6.81	   -1.01	  196.30	    0.81	   -7.86	    1.39	  413.74	 1003.67	   15.40	   1.212	   969.6	   40.00	3.469E+5	   0.117
      61	   6.005	   3.000	  0.8695	0.025467	 0.06264	-0.01336	-0.068924	  0.8671	0.063891	 0.01003	-0.23013	-0.01212	0.022154	-0.063891	0.869509	-0.00170	-0.23373	-0.01325	    6.60	  -14.29	  197.14	   -0.53	   -8.27	   -4.15	  413.10	 1003.69	   15.40	   1.212	   968.1	   39.97	3.467E+5	   0.117
      62	   6.005	   7.000	  0.8828	0.032598	 0.15164	-0.02398	-0.078543	  0.8794	0.154482	 0.01800	-0.24382	-0.03359	0.013875	-0.154482	0.882760	-0.01079	-0.24608	-0.03567	    4.75	  -34.52	  199.98	   -3.38	   -8.72	  -11.16	  412.83	 1003.70	   15.42	   1.212	   967.5	   39.96	3.465E+5	   0.117
