  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
      63	   6.005	  10.000	  0.8993	0.043725	 0.21314	-0.04234	-0.088052	  0.8950	0.217493	 0.02791	-0.26608	-0.04459	0.006049	-0.217493	0.899259	-0.01235	-0.26706	-0.04777	    3.00	  -48.64	  203.82	   -3.87	   -9.50	  -14.96	  413.14	 1003.68	   15.44	   1.212	   968.2	   39.98	3.466E+5	   0.117
      64	   3.000	  10.000	  0.6118	0.030135	 0.22101	-0.06413	-0.040707	  0.6105	0.222890	 0.02737	-0.21675	-0.04936	-0.008702	-0.222890	0.611751	-0.01153	-0.21533	-0.05086	   -0.19	  -50.12	  140.09	   -3.63	   -7.51	  -16.01	  415.38	 1003.64	   15.46	   1.211	   973.5	   40.09	3.475E+5	   0.118
      65	   3.000	   7.000	  0.5934	0.018130	 0.15568	-0.02607	-0.032033	  0.5925	0.156731	 0.01632	-0.17421	-0.03600	-0.000978	-0.156731	0.593391	-0.01109	-0.17405	-0.03691	    1.54	  -35.13	  135.50	   -3.48	   -5.96	  -11.58	  413.98	 1003.68	   15.53	   1.211	   970.2	   40.03	3.468E+5	   0.118
      66	   3.000	   3.000	  0.5719	0.010713	 0.06197	-0.00682	-0.022484	  0.5715	0.062444	 0.00926	-0.14969	-0.01289	0.007455	-0.062444	0.571851	-0.00159	-0.15090	-0.01339	    3.43	  -14.00	  130.76	   -0.50	   -5.11	   -4.20	  414.28	 1003.63	   15.56	   1.211	   970.9	   40.04	3.469E+5	   0.118
      67	   3.000	   0.005	  0.5520	0.008692	-0.00107	 0.00609	-0.020210	  0.5517	-0.001072	 0.00213	-0.13184	 0.00470	0.008692	0.001072	0.552001	 0.00255	-0.13325	 0.00459	    3.72	    0.24	  126.52	    0.80	   -4.46	    1.44	  414.96	 1003.56	   15.56	   1.211	   972.5	   40.08	3.472E+5	   0.118
      68	   3.000	  -4.000	  0.5754	0.013837	-0.08278	-0.00708	-0.022097	  0.5750	-0.083543	-0.00723	-0.15084	 0.02931	0.008029	0.083543	0.575405	 0.00791	-0.15214	 0.02973	    3.55	   18.69	  131.23	    2.48	   -5.14	    9.31	  413.26	 1003.57	   15.56	   1.211	   968.5	   39.99	3.465E+5	   0.117
      69	   0.000	  -4.000	  0.2640	0.007271	-0.09337	-0.01670	0.000740	  0.2640	-0.093653	-0.00895	-0.08271	 0.03379	0.000740	0.093653	0.264026	 0.00629	-0.08283	 0.03379	    2.15	   21.04	   61.31	    1.98	   -2.49	   10.63	  415.05	 1003.53	   15.58	   1.211	   972.7	   40.08	3.472E+5	   0.118
      70	   0.000	  -0.005	  0.2552	0.001154	 0.00100	 0.00067	0.001154	  0.2552	0.001004	 0.00154	-0.06312	 0.00591	0.001154	-0.001004	0.255151	 0.00137	-0.06331	 0.00591	    2.24	   -0.23	   59.24	    0.43	   -1.76	    1.86	  414.58	 1003.44	   15.64	   1.210	   971.6	   40.07	3.469E+5	   0.118
      71	   0.000	   3.000	  0.2575	0.003886	 0.06390	-0.00440	0.000536	  0.2575	0.064019	 0.00901	-0.06877	-0.01436	0.000536	-0.064019	0.257490	-0.00140	-0.06886	-0.01436	    2.10	  -14.35	   59.68	   -0.44	   -1.97	   -4.50	  413.94	 1003.44	   15.68	   1.210	   970.1	   40.04	3.465E+5	   0.118
      72	   0.000	   7.000	  0.2830	0.011358	 0.16999	-0.02707	-0.009443	  0.2830	0.170107	 0.01693	-0.09782	-0.04205	-0.009443	-0.170107	0.283021	-0.01074	-0.09629	-0.04205	   -0.13	  -38.02	   65.22	   -3.36	   -2.97	  -13.16	  412.85	 1003.47	   15.70	   1.210	   967.5	   39.99	3.460E+5	   0.117
      73	   0.000	  10.000	  0.2984	0.023161	 0.23092	-0.05411	-0.017290	  0.2984	0.231434	 0.02701	-0.12872	-0.05419	-0.017289	-0.231434	0.298404	-0.01065	-0.12590	-0.05419	   -1.88	  -51.48	   68.33	   -3.32	   -4.04	  -16.88	  410.89	 1003.42	   15.72	   1.210	   962.9	   39.89	3.452E+5	   0.117
      74	  -3.000	  10.000	 -0.0281	0.025385	 0.23981	-0.01765	-0.018089	 -0.0271	0.240578	 0.02649	-0.01087	-0.05791	-0.016644	-0.240578	-0.028055	-0.00965	-0.00816	-0.05660	   -1.53	  -53.71	   -4.91	   -3.01	    0.39	  -17.69	  412.38	 1003.48	   15.74	   1.210	   966.4	   39.97	3.458E+5	   0.117
      75	  -3.000	   7.005	 -0.0480	0.012958	 0.17840	 0.00833	-0.011394	 -0.0475	0.178644	 0.01598	 0.02019	-0.04533	-0.008895	-0.178644	-0.047991	-0.01073	 0.02164	-0.04456	    0.20	  -40.04	   -9.40	   -3.37	    1.50	  -13.98	  414.04	 1003.45	   15.76	   1.210	   970.3	   40.05	3.465E+5	   0.118
      76	  -3.000	   3.000	 -0.0699	0.005144	 0.06493	 0.01478	-0.001920	 -0.0699	0.065109	 0.00799	 0.03225	-0.01543	0.001739	-0.065109	-0.069883	-0.00180	 0.03196	-0.01504	    2.58	  -14.59	  -14.31	   -0.56	    1.88	   -4.72	  414.02	 1003.35	   15.82	   1.210	   970.3	   40.05	3.463E+5	   0.118
      77	  -3.000	   0.005	 -0.0883	0.002045	-0.00177	 0.02221	-0.002577	 -0.0883	-0.001768	 0.00034	 0.04428	 0.00698	0.002045	0.001768	-0.088267	 0.00026	 0.04394	 0.00700	    2.65	    0.40	  -18.47	    0.08	    2.33	    2.20	  414.91	 1003.36	   15.82	   1.210	   972.4	   40.10	3.467E+5	   0.118
      78	  -3.000	  -4.000	 -0.0654	0.008491	-0.09975	 0.01400	-0.001914	 -0.0654	-0.100095	-0.01033	 0.03035	 0.03624	0.001512	0.100095	-0.065436	 0.00407	 0.03011	 0.03574	    2.52	   22.40	  -13.29	    1.27	    1.81	   11.20	  413.39	 1003.43	   15.86	   1.210	   968.8	   40.02	3.460E+5	   0.117
      79	  -3.000	  -4.000	 -0.0703	0.037415	-0.09163	 0.04264	0.027211	 -0.0718	-0.094016	-0.01031	 0.06060	 0.03017	0.030932	0.094016	-0.070292	 0.00342	 0.05556	 0.02967	    9.07	   20.96	  -14.32	    1.07	    2.74	    9.26	  411.79	 1003.43	   15.88	   1.209	   965.0	   39.95	3.453E+5	   0.117
      80	  -3.000	  -0.005	 -0.0766	0.031525	 0.00439	 0.04666	0.027474	 -0.0781	0.004388	 0.00064	 0.06620	 0.00099	0.031525	-0.004388	-0.076587	-0.00013	 0.06107	 0.00102	    9.24	   -0.98	  -15.78	   -0.04	    2.95	    0.32	  413.27	 1003.50	   15.88	   1.210	   968.5	   40.02	3.460E+5	   0.117
      81	  -3.000	   3.000	 -0.0681	0.033436	 0.08010	 0.03588	0.025596	 -0.0695	0.081742	 0.00915	 0.05326	-0.02168	0.029198	-0.081742	-0.068057	-0.00302	 0.04851	-0.02123	    8.71	  -18.27	  -13.86	   -0.95	    2.48	   -6.64	  412.85	 1003.48	   15.88	   1.209	   967.5	   40.00	3.458E+5	   0.117
      82	  -3.000	   7.000	 -0.0471	0.041839	 0.18150	 0.02771	0.016914	 -0.0481	0.185249	 0.01646	 0.03974	-0.05095	0.019408	-0.185249	-0.047137	-0.01103	 0.03658	-0.05016	    6.50	  -41.27	   -9.15	   -3.44	    2.04	  -15.64	  411.52	 1003.48	   15.90	   1.209	   964.4	   39.94	3.452E+5	   0.117
      83	  -3.000	  10.000	 -0.0275	0.053554	 0.23917	 0.00094	0.009754	 -0.0281	0.244839	 0.02664	 0.00795	-0.06308	0.011209	-0.244839	-0.027505	-0.00992	 0.00613	-0.06177	    4.68	  -54.60	   -4.78	   -3.10	    0.92	  -19.28	  411.93	 1003.50	   15.92	   1.209	   965.3	   39.96	3.453E+5	   0.117
      84	  -0.005	  10.000	  0.2931	0.051854	 0.22968	-0.03272	0.011206	  0.2931	0.235196	 0.02696	-0.10599	-0.05929	0.011183	-0.235196	0.293105	-0.01130	-0.10781	-0.05928	    4.46	  -52.44	   67.32	   -3.53	   -3.39	  -18.51	  411.87	 1003.51	   15.92	   1.209	   965.2	   39.95	3.453E+5	   0.117
      85	  -0.005	   7.000	  0.2759	0.040666	 0.17121	-0.00427	0.019520	  0.2759	0.174886	 0.01675	-0.07325	-0.04751	0.019498	-0.174886	0.275915	-0.01170	-0.07642	-0.04751	    6.34	  -39.12	   63.69	   -3.67	   -2.24	  -14.88	  413.23	 1003.44	   15.91	   1.209	   968.4	   40.02	3.459E+5	   0.117
      86	  -0.005	   3.000	  0.2490	0.033609	 0.06808	 0.01899	0.030019	  0.2490	0.069749	 0.00885	-0.04326	-0.01994	0.029999	-0.069749	0.248990	-0.00250	-0.04814	-0.01993	    8.71	  -15.63	   57.78	   -0.78	   -1.20	   -6.26	  414.04	 1003.43	   15.90	   1.209	   970.3	   40.06	3.462E+5	   0.118
      87	  -0.005	   0.005	  0.2318	0.030811	 0.00662	 0.02714	0.030829	  0.2318	0.006618	 0.00145	-0.03080	 0.00014	0.030811	-0.006618	0.231786	 0.00038	-0.03582	 0.00014	    8.90	   -1.49	   54.01	    0.12	   -0.74	    0.04	  414.63	 1003.35	   15.91	   1.209	   971.7	   40.09	3.465E+5	   0.118
      88	  -0.005	  -4.000	  0.2528	0.036691	-0.08598	 0.01677	0.030624	  0.2528	-0.088330	-0.00952	-0.04642	 0.02810	0.030604	0.088330	0.252786	 0.00485	-0.05140	 0.02810	    8.82	   19.75	   58.50	    1.52	   -1.32	    8.80	  413.10	 1003.32	   15.92	   1.209	   968.1	   40.02	3.458E+5	   0.117
      89	   3.000	  -4.000	  0.5629	0.043346	-0.07738	 0.02937	0.008334	  0.5641	-0.080211	-0.00810	-0.11164	 0.02410	0.037843	0.080211	0.562856	 0.00623	-0.11780	 0.02456	   10.17	   17.86	  127.80	    1.94	   -3.86	    7.65	  411.28	 1003.39	   15.94	   1.209	   963.8	   39.93	3.450E+5	   0.117
      90	   3.000	  -0.005	  0.5572	0.038033	 0.00846	 0.03634	0.008823	  0.5584	0.008457	 0.00193	-0.10326	-0.00041	0.038034	-0.008457	0.557164	 0.00053	-0.10945	-0.00052	   10.26	   -1.89	  127.02	    0.17	   -3.56	   -0.16	  412.83	 1003.36	   15.90	   1.209	   967.5	   40.00	3.457E+5	   0.117
      91	   3.000	   3.000	  0.5621	0.040247	 0.06752	 0.02311	0.007192	  0.5632	0.069532	 0.00927	-0.11770	-0.01772	0.036658	-0.069532	0.562064	-0.00299	-0.12366	-0.01823	    9.93	  -15.51	  127.87	   -0.93	   -4.08	   -5.69	  412.06	 1003.40	   15.88	   1.209	   965.6	   39.96	3.454E+5	   0.117
      92	   3.000	   7.000	  0.5860	0.047558	 0.15774	-0.00325	-0.002728	  0.5867	0.162360	 0.01643	-0.14992	-0.04165	0.027980	-0.162360	0.586029	-0.01219	-0.15447	-0.04256	    8.03	  -36.37	  133.77	   -3.82	   -5.24	  -13.35	  413.76	 1003.30	   15.86	   1.209	   969.7	   40.04	3.462E+5	   0.118
      93	   3.000	  10.000	  0.6055	0.058022	 0.22036	-0.04103	-0.012841	  0.6057	0.227091	 0.02733	-0.19245	-0.05458	0.018875	-0.227091	0.605533	-0.01252	-0.19552	-0.05608	    5.96	  -50.63	  137.51	   -3.91	   -6.72	  -17.51	  411.89	 1003.30	   15.87	   1.209	   965.2	   39.95	3.454E+5	   0.117
      94	   6.000	  10.000	  0.8892	0.071263	 0.20992	-0.01464	-0.059400	  0.8878	0.219104	 0.02713	-0.23660	-0.04887	0.033728	-0.219104	0.889184	-0.01383	-0.24209	-0.05199	    9.15	  -48.77	  200.62	   -4.31	   -8.54	  -16.20	  411.23	 1003.33	   15.88	   1.209	   963.7	   39.92	3.451E+5	   0.117
      95	   6.000	   7.005	  0.8711	0.061466	 0.14969	 0.00503	-0.048534	  0.8708	0.156064	 0.01700	-0.21267	-0.03793	0.042752	-0.156064	0.871082	-0.01250	-0.21962	-0.03992	   11.20	  -34.87	  197.34	   -3.91	   -7.74	  -12.49	  412.77	 1003.30	   15.84	   1.209	   967.3	   39.99	3.458E+5	   0.117
      96	   6.000	   2.995	  0.8320	0.054917	 0.06597	 0.01789	-0.035854	  0.8328	0.068753	 0.00937	-0.19032	-0.01699	0.051395	-0.068753	0.832013	-0.00366	-0.19868	-0.01807	   13.15	  -15.38	  188.82	   -1.15	   -6.98	   -5.66	  413.23	 1003.32	   15.82	   1.210	   968.4	   40.02	3.460E+5	   0.117
      97	   6.000	   0.005	  0.8363	0.052952	 0.00695	 0.03195	-0.034756	  0.8373	0.006954	 0.00178	-0.17737	-0.00015	0.052951	-0.006954	0.836309	 0.00063	-0.18598	-0.00034	   13.53	   -1.56	  190.32	    0.20	   -6.53	   -0.11	  414.40	 1003.34	   15.82	   1.210	   971.2	   40.07	3.465E+5	   0.118
      98	   6.000	  -4.000	  0.8570	0.058490	-0.07734	 0.02405	-0.036913	  0.8578	-0.081236	-0.00851	-0.19040	 0.02319	0.052953	0.081236	0.856960	 0.00720	-0.19902	 0.02421	   13.50	   18.17	  194.42	    2.26	   -6.99	    7.58	  413.28	 1003.32	   15.82	   1.210	   968.5	   40.02	3.460E+5	   0.117
      99	  10.000	  -4.000	  1.1184	0.101057	-0.07242	-0.06087	-0.099911	  1.1181	-0.079293	-0.00939	-0.34039	 0.02130	0.095759	0.079293	1.118448	 0.00748	-0.35597	 0.02328	   22.84	   17.70	  251.41	    2.34	  -12.74	    7.28	  412.42	 1003.29	   15.82	   1.210	   966.5	   39.98	3.457E+5	   0.117
     100	  10.000	  -0.005	  1.1041	0.095636	 0.00369	-0.06125	-0.097545	  1.1040	0.003685	 0.00169	-0.33724	 0.00090	0.095637	-0.003685	1.104131	 0.00122	-0.35280	 0.00062	   22.91	   -0.83	  249.28	    0.38	  -12.68	    0.19	  414.18	 1003.34	   15.82	   1.210	   970.6	   40.06	3.464E+5	   0.118
     101	  10.000	   3.000	  1.1124	0.098152	 0.05665	-0.07058	-0.099547	  1.1120	0.061707	 0.00948	-0.34857	-0.01352	0.095053	-0.061707	1.112353	-0.00312	-0.36404	-0.01540	   22.74	  -13.81	  250.72	   -0.98	  -13.07	   -4.83	  413.51	 1003.27	   15.82	   1.209	   969.1	   40.03	3.461E+5	   0.117
     102	  10.000	   7.000	  1.1458	0.106562	 0.13308	-0.08185	-0.110777	  1.1439	0.145079	 0.01854	-0.36784	-0.03302	0.089549	-0.145079	1.145803	-0.01126	-0.38241	-0.03680	   21.43	  -32.36	  257.29	   -3.52	  -13.70	  -11.49	  412.06	 1003.32	   15.82	   1.210	   965.6	   39.96	3.455E+5	   0.117
     103	  10.000	  10.000	  1.2173	0.110233	 0.19514	-0.06082	-0.137849	  1.2118	0.211315	 0.02885	-0.36377	-0.04291	0.074673	-0.211315	1.217346	-0.01366	-0.37592	-0.04866	   18.12	  -47.14	  273.30	   -4.27	  -13.46	  -15.20	  412.13	 1003.22	   15.82	   1.209	   965.8	   39.96	3.455E+5	   0.117
