  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
      54	 16:04:14	  10.000	  10.000	  413.58	 1003.95	   15.19	  1788.6	 -3214.6	  1036.2	  3351.0	    83.2	  1358.4	 478.917	   1.213	   969.2	    40.0	  446893	  123.00	   -0.00	   16.59	    0.03	    0.00	  17.035	  15.462	  33.834	   0.151	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      55	 16:04:49	  10.000	   7.000	  415.16	 1003.92	   15.28	  1582.9	 -3308.3	  1155.4	  3127.9	    42.5	  1597.3	 478.711	   1.213	   973.0	    40.1	  447565	  123.00	   -0.00	   16.16	    0.03	    0.00	  18.418	  15.487	  33.879	   0.151	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      56	 16:05:33	  10.000	   3.000	  414.86	 1003.88	   15.32	  1809.1	 -1193.2	  1585.2	  2393.3	   232.1	   531.1	 476.297	   1.212	   972.2	    40.0	  447305	  123.00	   -0.00	   16.66	    0.03	    0.00	  20.211	  15.513	  33.874	   0.151	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      57	 16:06:06	  10.000	   0.005	  413.86	 1003.81	   15.35	  1836.6	   202.1	  1938.8	  1994.7	   272.5	  -232.2	 475.230	   1.212	   969.9	    40.0	  446691	  123.00	   -0.00	   16.31	    0.03	    0.00	  21.481	  15.547	  33.782	   0.151	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      58	 16:06:37	  10.000	  -4.000	  413.44	 1003.73	   15.37	  1823.5	  2137.8	  2485.3	  1520.2	   233.5	 -1314.2	 475.653	   1.212	   968.9	    40.0	  446421	  123.00	   -0.00	   16.15	    0.03	    0.00	  22.520	  15.572	  33.667	   0.151	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      59	 16:07:13	   6.005	  -4.000	  414.35	 1003.71	   15.38	   732.4	  2281.2	  2125.3	  1079.0	  -116.6	 -1419.4	 473.666	   1.212	   971.0	    40.0	  446884	  123.00	   -0.00	   16.42	    0.03	    0.00	  23.510	  15.593	  33.763	   0.151	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      60	 16:07:44	   6.005	  -0.005	  413.74	 1003.67	   15.40	   738.5	    96.6	  1505.8	  1626.3	   -47.4	  -211.6	 472.601	   1.212	   969.6	    40.0	  446500	  123.00	   -0.00	   16.78	    0.03	    0.00	  24.272	  15.606	  33.760	   0.151	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      61	 16:08:06	   6.005	   3.000	  413.10	 1003.69	   15.40	   715.7	 -1387.2	  1130.7	  2033.3	   -94.9	   633.2	 472.666	   1.212	   968.1	    40.0	  446158	  123.00	   -0.00	   16.63	    0.03	    0.00	  24.761	  15.611	  33.736	   0.151	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      62	 16:08:43	   6.005	   7.000	  412.83	 1003.70	   15.42	   513.8	 -3477.0	   619.4	  2663.0	  -287.0	  1706.5	 474.721	   1.212	   967.5	    40.0	  445978	  123.00	   -0.00	   16.84	    0.03	    0.00	  25.504	  15.622	  33.673	   0.151	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
