  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
      42	   6.000	  10.000	  0.8820	0.089204	 0.20644	 0.00557	-0.040475	  0.8826	0.218792	 0.02605	-0.21508	-0.05182	0.052002	-0.218792	0.881990	-0.01517	-0.22354	-0.05484	   13.28	  -48.96	  200.05	   -4.75	   -7.90	  -17.18	  413.33	 1004.18	   15.24	   1.213	   968.6	   39.96	3.471E+5	   0.117
      43	   6.000	   6.995	  0.8401	0.078143	 0.14836	-0.01411	-0.028651	  0.8418	0.156775	 0.01618	-0.22455	-0.04076	0.059493	-0.156775	0.840146	-0.01372	-0.23423	-0.04269	   15.01	  -35.21	  191.37	   -4.31	   -8.32	  -13.42	  414.81	 1004.15	   15.24	   1.213	   972.1	   40.04	3.477E+5	   0.118
      44	   6.000	   3.000	  0.8524	0.071097	 0.06233	 0.03077	-0.021733	  0.8548	0.065961	 0.00822	-0.18294	-0.01880	0.067738	-0.065961	0.852401	-0.00454	-0.19396	-0.01977	   16.88	  -14.82	  194.23	   -1.43	   -6.83	   -6.22	  415.03	 1004.13	   15.25	   1.213	   972.6	   40.05	3.478E+5	   0.118
      45	   6.000	   0.005	  0.8342	0.068132	 0.00309	 0.03922	-0.019443	  0.8368	0.003092	 0.00028	-0.16997	-0.00075	0.068132	-0.003092	0.834241	-0.00031	-0.18106	-0.00079	   16.95	   -0.69	  189.97	   -0.10	   -6.35	   -0.25	  414.65	 1004.12	   15.28	   1.213	   971.7	   40.03	3.476E+5	   0.118
      46	   6.000	  -4.000	  0.8503	0.073137	-0.07806	 0.04499	-0.021735	  0.8527	-0.082967	-0.00982	-0.16819	 0.02184	0.067514	0.082967	0.850296	 0.00604	-0.17917	 0.02299	   16.77	   18.58	  193.11	    1.89	   -6.26	    7.21	  413.65	 1004.08	   15.29	   1.213	   969.4	   39.98	3.471E+5	   0.117
      47	  10.000	  -4.000	  1.1037	0.117806	-0.07306	-0.03189	-0.080931	  1.1064	-0.081100	-0.01123	-0.30849	 0.01961	0.112422	0.081100	1.103650	 0.00566	-0.32679	 0.02189	   26.61	   18.14	  248.58	    1.77	  -11.69	    6.86	  413.19	 1004.06	   15.30	   1.213	   968.3	   39.96	3.469E+5	   0.117
      48	  10.000	  -0.005	  1.0940	0.112594	 0.00015	-0.03675	-0.079086	  1.0969	0.000136	-0.00019	-0.31098	-0.00061	0.112594	-0.000136	1.094006	-0.00032	-0.32930	-0.00059	   26.75	   -0.03	  247.33	   -0.10	  -11.82	   -0.18	  414.71	 1004.06	   15.32	   1.213	   971.9	   40.04	3.475E+5	   0.118
      49	  10.000	   3.000	  1.1036	0.115695	 0.05048	-0.05188	-0.080465	  1.1065	0.056466	 0.00787	-0.32850	-0.01574	0.112894	-0.056466	1.103646	-0.00425	-0.34687	-0.01737	   26.77	  -12.66	  249.09	   -1.34	  -12.45	   -5.45	  414.04	 1003.99	   15.32	   1.212	   970.3	   40.01	3.472E+5	   0.118
      50	  10.000	   7.000	  1.1918	0.119175	 0.13651	-0.03981	-0.106839	  1.1913	0.150015	 0.01702	-0.33764	-0.03620	0.101650	-0.150015	1.191759	-0.01414	-0.35418	-0.03976	   24.22	  -33.58	  268.46	   -4.43	  -12.71	  -12.46	  413.45	 1004.08	   15.34	   1.212	   968.9	   39.98	3.470E+5	   0.117
      51	  10.000	   7.000	  1.1401	0.124347	 0.13086	-0.06167	-0.092137	  1.1415	0.145039	 0.01709	-0.34703	-0.03575	0.107472	-0.145039	1.140116	-0.01318	-0.36452	-0.03932	   25.53	  -32.48	  257.06	   -4.13	  -13.10	  -12.33	  413.71	 1004.09	   15.36	   1.212	   969.5	   39.99	3.470E+5	   0.117
      52	  10.000	  10.000	  1.2075	0.129341	 0.19097	-0.04089	-0.116899	  1.2055	0.210525	 0.02750	-0.34227	-0.04586	0.094216	-0.210525	1.207527	-0.01540	-0.35760	-0.05141	   22.52	  -47.06	  271.64	   -4.82	  -12.82	  -16.09	  412.93	 1004.08	   15.38	   1.212	   967.7	   39.96	3.467E+5	   0.117
