  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
       1	  10.000	  10.000	  1.2178	0.150793	 0.10169	 0.15456	-0.082612	  1.2220	0.126326	 0.02895	-0.15095	-0.02396	0.130844	-0.126326	1.217805	 0.00365	-0.17224	-0.02944	    7.76	   -7.13	   69.19	    0.29	   -1.51	   -2.33	  104.77	 1004.94	   13.96	   1.219	   244.4	   20.02	1.754E+5	   0.059
       2	  10.000	   7.005	  1.2202	0.135992	 0.05229	 0.17244	-0.085239	  1.2240	0.068483	 0.01936	-0.13356	-0.01349	0.128600	-0.068483	1.220202	 0.00550	-0.15448	-0.01711	    7.64	   -3.87	   69.42	    0.44	   -1.35	   -1.35	  104.92	 1004.95	   13.97	   1.219	   244.8	   20.04	1.755E+5	   0.059
       3	  10.000	   3.000	  1.1888	0.120393	 0.05321	 0.21859	-0.090773	  1.1911	0.059433	 0.00731	-0.07920	-0.01718	0.117443	-0.059433	1.188802	-0.00555	-0.09831	-0.01873	    6.97	   -3.34	   67.24	   -0.44	   -0.82	   -1.47	  104.29	 1004.94	   13.98	   1.219	   243.3	   19.98	1.750E+5	   0.059
       4	  10.000	   0.005	  1.1257	0.117770	 0.00203	 0.22612	-0.079487	  1.1290	0.002039	-0.00055	-0.05614	-0.00119	0.117770	-0.002039	1.125659	-0.00109	-0.07530	-0.00111	    7.01	   -0.11	   63.90	   -0.09	   -0.61	   -0.09	  104.63	 1004.94	   13.99	   1.219	   244.1	   20.01	1.753E+5	   0.059
       5	  10.000	  -4.000	  1.1637	0.133808	-0.03618	 0.21768	-0.073107	  1.1688	-0.045423	-0.01173	-0.07451	 0.00857	0.130959	0.045423	1.163720	-0.00262	-0.09582	 0.01077	    7.80	    2.58	   66.48	   -0.21	   -0.80	    0.86	  105.31	 1004.85	   14.00	   1.219	   245.7	   20.08	1.758E+5	   0.059
       6	   6.005	  -4.000	  0.9310	0.082384	-0.04757	 0.16683	-0.018962	  0.9342	-0.053201	-0.00859	-0.06672	 0.01304	0.078865	0.053201	0.931033	 0.00149	-0.07955	 0.01401	    4.85	    2.99	   53.08	    0.12	   -0.65	    1.10	  104.44	 1004.82	   14.00	   1.219	   243.6	   19.99	1.751E+5	   0.059
       7	   6.005	  -0.005	  0.9242	0.075948	 0.00758	 0.15733	-0.021151	  0.9271	0.007572	-0.00067	-0.07445	-0.00201	0.075948	-0.007572	0.924234	-0.00211	-0.08680	-0.00196	    4.71	   -0.43	   52.95	   -0.17	   -0.72	   -0.15	  104.94	 1004.82	   14.00	   1.219	   244.8	   20.04	1.755E+5	   0.059
       8	   6.005	   3.000	  0.9291	0.078681	 0.06328	 0.14928	-0.022349	  0.9319	0.067314	 0.00687	-0.08370	-0.02074	0.075261	-0.067314	0.929148	-0.00632	-0.09595	-0.02158	    4.66	   -3.80	   53.06	   -0.50	   -0.80	   -1.70	  104.62	 1004.80	   14.00	   1.219	   244.1	   20.01	1.752E+5	   0.059
       9	   6.005	   7.000	  0.9507	0.094186	 0.06750	 0.10851	-0.014664	  0.9544	0.078477	 0.01947	-0.13009	-0.01769	0.085257	-0.078477	0.950725	 0.00473	-0.14397	-0.01984	    5.22	   -4.43	   54.30	    0.37	   -1.25	   -1.57	  104.66	 1004.80	   14.01	   1.219	   244.2	   20.02	1.753E+5	   0.059
      10	   6.005	  10.000	  0.9572	0.105926	 0.12248	 0.09210	-0.017541	  0.9607	0.139015	 0.02829	-0.14806	-0.02881	0.083048	-0.139015	0.957225	 0.00247	-0.16158	-0.03195	    5.07	   -7.80	   54.37	    0.19	   -1.41	   -2.51	  104.08	 1004.80	   14.02	   1.219	   242.8	   19.96	1.748E+5	   0.059
      11	   3.000	  10.000	  0.6743	0.093291	 0.13204	-0.00575	0.033561	  0.6770	0.146229	 0.02916	-0.17500	-0.03373	0.068946	-0.146229	0.674283	 0.00356	-0.18621	-0.03530	    4.32	   -8.23	   38.57	    0.28	   -1.61	   -2.78	  104.42	 1004.76	   14.02	   1.219	   243.6	   19.99	1.750E+5	   0.059
      12	   3.000	   7.000	  0.6594	0.080444	 0.06891	 0.03126	0.036837	  0.6622	0.078202	 0.01963	-0.13430	-0.01908	0.071446	-0.078202	0.659406	 0.00588	-0.14593	-0.02014	    4.48	   -4.42	   37.91	    0.47	   -1.24	   -1.59	  104.90	 1004.81	   14.02	   1.219	   244.7	   20.04	1.755E+5	   0.059
      14	   3.000	   2.995	  0.5436	0.062504	 0.05878	 0.06641	0.030815	  0.5460	0.061965	 0.00627	-0.07008	-0.01958	0.059347	-0.061965	0.543610	-0.00484	-0.07974	-0.01994	    3.79	   -3.49	   31.29	   -0.38	   -0.62	   -1.57	  104.66	 1004.74	   14.02	   1.219	   244.2	   20.02	1.753E+5	   0.059
      15	   3.000	   0.005	  0.5749	0.060925	 0.00887	 0.08054	0.030752	  0.5773	0.008872	-0.00026	-0.06379	-0.00206	0.060925	-0.008872	0.574905	-0.00181	-0.07370	-0.00205	    3.88	   -0.50	   33.11	   -0.14	   -0.57	   -0.16	  104.81	 1004.69	   14.02	   1.219	   244.5	   20.03	1.754E+5	   0.059
      16	   3.000	  -4.000	  0.6318	0.067990	-0.04902	 0.09308	0.031249	  0.6343	-0.053645	-0.00796	-0.06550	 0.01383	0.064405	0.053645	0.631820	 0.00150	-0.07598	 0.01427	    4.06	    3.01	   36.13	    0.12	   -0.59	    1.12	  104.27	 1004.67	   14.02	   1.219	   243.3	   19.98	1.749E+5	   0.059
      17	   0.000	  -4.000	  0.3264	0.060321	-0.06058	 0.04810	0.055947	  0.3264	-0.064638	-0.00915	-0.03349	 0.01830	0.055948	0.064638	0.326361	 0.00136	-0.04259	 0.01830	    3.66	    3.65	   18.91	    0.11	   -0.25	    1.45	  104.70	 1004.64	   14.02	   1.219	   244.2	   20.02	1.753E+5	   0.059
      18	   0.000	  -0.005	  0.3229	0.053251	 0.01282	 0.04451	0.053251	  0.3229	0.012816	-0.00043	-0.03621	-0.00209	0.053252	-0.012816	0.322867	-0.00251	-0.04487	-0.00209	    3.48	   -0.72	   18.61	   -0.20	   -0.27	   -0.16	  104.11	 1004.61	   14.02	   1.219	   242.9	   19.96	1.748E+5	   0.059
      19	   0.000	   3.000	  0.3306	0.054953	 0.06491	 0.03149	0.051480	  0.3306	0.067694	 0.00658	-0.05117	-0.02294	0.051480	-0.067694	0.330640	-0.00444	-0.05955	-0.02294	    3.38	   -3.79	   19.03	   -0.35	   -0.41	   -1.80	  104.01	 1004.58	   14.02	   1.219	   242.6	   19.96	1.747E+5	   0.059
      20	   0.000	   7.000	  0.3568	0.069548	 0.12394	 0.01140	0.053924	  0.3568	0.131489	 0.01465	-0.07779	-0.03734	0.053925	-0.131489	0.356753	-0.00675	-0.08656	-0.03734	    3.53	   -7.39	   20.54	   -0.53	   -0.66	   -2.94	  104.27	 1004.58	   14.04	   1.219	   243.3	   19.98	1.749E+5	   0.059
      21	   0.000	  10.000	  0.3686	0.087381	 0.14034	-0.03925	0.061683	  0.3686	0.153385	 0.02897	-0.13140	-0.03797	0.061684	-0.153385	0.368582	 0.00401	-0.14144	-0.03797	    3.95	   -8.60	   21.15	    0.31	   -1.16	   -2.98	  104.00	 1004.55	   14.04	   1.219	   242.6	   19.96	1.747E+5	   0.059
      22	  -3.000	  10.000	  0.0550	0.090219	 0.14884	-0.00442	0.065794	  0.0516	0.162245	 0.02892	-0.01732	-0.04154	0.063002	-0.162245	0.054994	 0.00467	-0.02757	-0.04008	    4.08	   -9.10	    3.42	    0.37	   -0.08	   -3.15	  104.08	 1004.56	   14.04	   1.219	   242.8	   19.96	1.747E+5	   0.059
      23	  -3.000	   6.995	 -0.0601	0.076054	 0.08440	-0.13698	0.061975	 -0.0634	0.093029	 0.02047	-0.12112	-0.02630	0.065210	-0.093029	-0.060099	 0.00669	-0.13173	-0.02526	    4.22	   -5.24	   -3.04	    0.53	   -1.05	   -1.99	  104.44	 1004.54	   14.05	   1.218	   243.7	   20.00	1.750E+5	   0.059
      24	  -3.000	   3.000	  0.0155	0.056373	 0.07062	 0.04483	0.053341	  0.0128	0.073469	 0.00653	 0.04164	-0.02488	0.052600	-0.073469	0.015537	-0.00413	 0.03308	-0.02457	    3.52	   -4.15	    1.22	   -0.33	    0.48	   -1.94	  104.85	 1004.47	   14.06	   1.218	   244.6	   20.04	1.754E+5	   0.059
      25	  -3.000	   0.005	 -0.0489	0.054342	 0.01247	 0.05660	0.051709	 -0.0516	0.012474	-0.00051	 0.06951	-0.00213	0.054341	-0.012474	-0.048869	-0.00243	 0.06067	-0.00216	    3.62	   -0.70	   -2.42	   -0.19	    0.74	   -0.17	  104.79	 1004.44	   14.06	   1.218	   244.5	   20.03	1.753E+5	   0.059
      26	  -3.000	  -4.000	  0.0121	0.058900	-0.09243	 0.06980	0.052869	  0.0093	-0.096318	-0.01114	 0.06747	 0.02799	0.052308	0.096318	0.012096	 0.00308	 0.05896	 0.02745	    3.49	    5.41	    1.02	    0.24	    0.72	    2.16	  104.27	 1004.49	   14.07	   1.218	   243.3	   19.98	1.749E+5	   0.059
      27	  -3.000	  -4.000	 -0.0722	0.052470	-0.08775	 0.06074	0.042379	 -0.0745	-0.091192	-0.01050	 0.07938	 0.02715	0.046221	0.091192	-0.072205	 0.00293	 0.07186	 0.02664	   12.56	   20.46	  -14.84	    0.92	    3.36	    8.37	  414.49	 1004.42	   14.61	   1.216	   971.4	   39.97	3.486E+5	   0.118
      28	  -3.000	  -0.005	 -0.0769	0.046568	 0.00732	 0.06024	0.042478	 -0.0793	0.007317	 0.00049	 0.08006	-0.00197	0.046568	-0.007317	-0.076939	-0.00060	 0.07248	-0.00195	   12.68	   -1.65	  -15.96	   -0.19	    3.39	   -0.61	  415.77	 1004.41	   14.74	   1.215	   974.4	   40.04	3.489E+5	   0.118
      29	  -3.000	   3.000	 -0.0672	0.048976	 0.07653	 0.04772	0.041327	 -0.0694	0.078991	 0.00866	 0.06507	-0.02488	0.044903	-0.078991	-0.067160	-0.00290	 0.05777	-0.02446	   12.29	  -17.76	  -13.74	   -0.91	    2.84	   -7.70	  415.29	 1004.40	   14.80	   1.215	   973.3	   40.02	3.486E+5	   0.118
      30	  -3.000	   7.005	 -0.0476	0.058313	 0.18198	 0.04185	0.033143	 -0.0494	0.187736	 0.01633	 0.05420	-0.05425	0.035684	-0.187736	-0.047609	-0.01139	 0.04840	-0.05347	   10.11	  -41.75	   -9.24	   -3.55	    2.47	  -16.65	  410.78	 1004.43	   14.86	   1.215	   962.6	   39.81	3.466E+5	   0.117
      31	  -3.000	   9.995	 -0.0290	0.070450	 0.23580	 0.01803	0.026900	 -0.0304	0.244450	 0.02609	 0.02563	-0.06574	0.028455	-0.244450	-0.028970	-0.01027	 0.02100	-0.06446	    8.56	  -54.77	   -5.14	   -3.22	    1.47	  -20.22	  413.86	 1004.34	   14.94	   1.214	   969.9	   39.97	3.478E+5	   0.117
      32	  -0.005	   9.995	  0.2894	0.068885	 0.22652	-0.01359	0.028548	  0.2894	0.235034	 0.02628	-0.08594	-0.06207	0.028525	-0.235034	0.289401	-0.01195	-0.09058	-0.06207	    8.37	  -52.64	   66.80	   -3.75	   -2.77	  -19.46	  413.75	 1004.29	   14.98	   1.214	   969.6	   39.96	3.477E+5	   0.117
      33	  -0.005	   7.005	  0.2738	0.056758	 0.17125	 0.01214	0.035470	  0.2738	0.176897	 0.01649	-0.05632	-0.05054	0.035449	-0.176897	0.273826	-0.01229	-0.06209	-0.05054	    9.96	  -39.79	   63.58	   -3.87	   -1.72	  -15.92	  415.51	 1004.27	   15.00	   1.214	   973.8	   40.05	3.484E+5	   0.118
      34	  -0.005	   3.000	  0.2507	0.049006	 0.06539	 0.02445	0.045536	  0.2507	0.067867	 0.00824	-0.03823	-0.02237	0.045516	-0.067867	0.250707	-0.00280	-0.04563	-0.02237	   12.22	  -15.25	   58.32	   -0.88	   -1.11	   -7.04	  415.12	 1004.28	   15.06	   1.214	   972.9	   40.04	3.481E+5	   0.118
      35	  -0.005	   0.005	  0.2296	0.046107	 0.00153	 0.03660	0.046125	  0.2296	0.001533	 0.00044	-0.02080	-0.00223	0.046107	-0.001533	0.229595	 0.00019	-0.02830	-0.00223	   12.32	   -0.34	   53.44	    0.06	   -0.47	   -0.70	  414.09	 1004.24	   15.10	   1.214	   970.4	   39.99	3.476E+5	   0.117
      36	  -0.005	  -4.000	  0.2481	0.051228	-0.08308	 0.03669	0.045328	  0.2481	-0.086448	-0.00999	-0.02535	 0.02535	0.045308	0.086448	0.248145	 0.00408	-0.03272	 0.02535	   12.12	   19.35	   57.51	    1.28	   -0.63	    7.94	  413.44	 1004.23	   15.13	   1.214	   968.9	   39.96	3.473E+5	   0.117
      37	   3.000	  -4.000	  0.5578	0.058014	-0.07559	 0.04693	0.023335	  0.5598	-0.079451	-0.00885	-0.09302	 0.02191	0.052599	0.079451	0.557789	 0.00524	-0.10158	 0.02240	   13.53	   17.78	  127.35	    1.64	   -3.28	    7.02	  413.46	 1004.19	   15.16	   1.213	   968.9	   39.96	3.473E+5	   0.117
      38	   3.000	  -0.005	  0.5567	0.052877	 0.00508	 0.04470	0.023672	  0.5587	0.005074	 0.00064	-0.09497	-0.00137	0.052878	-0.005074	0.556661	-0.00026	-0.10357	-0.00141	   13.65	   -1.14	  127.61	   -0.08	   -3.36	   -0.44	  415.10	 1004.13	   15.16	   1.213	   972.8	   40.04	3.479E+5	   0.118
      39	   3.000	   3.000	  0.5621	0.055919	 0.06014	 0.03217	0.023206	  0.5641	0.062986	 0.00787	-0.10884	-0.01913	0.052694	-0.062986	0.562080	-0.00339	-0.11742	-0.01957	   13.58	  -14.12	  128.55	   -1.07	   -3.87	   -6.14	  414.22	 1004.15	   15.18	   1.213	   970.7	   40.00	3.475E+5	   0.118
      40	   3.000	   7.000	  0.5830	0.063813	 0.15836	 0.01006	0.013464	  0.5845	0.164958	 0.01617	-0.13607	-0.04503	0.044038	-0.164958	0.583041	-0.01305	-0.14324	-0.04594	   11.64	  -36.99	  133.25	   -4.10	   -4.83	  -14.42	  414.22	 1004.18	   15.20	   1.213	   970.7	   40.00	3.475E+5	   0.118
      41	   3.000	  10.000	  0.6002	0.075339	 0.21762	-0.02263	0.004945	  0.6013	0.227400	 0.02656	-0.17295	-0.05758	0.036404	-0.227400	0.600168	-0.01350	-0.17887	-0.05905	    9.91	  -50.89	  136.83	   -4.23	   -6.13	  -18.50	  413.42	 1004.14	   15.24	   1.213	   968.9	   39.97	3.471E+5	   0.117
