  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
       1	 15:29:58	  10.000	  10.000	  104.77	 1004.94	   13.96	   841.2	  -710.9	   167.3	   663.4	   517.7	   355.4	 247.981	   1.219	   244.4	    20.0	  225761	   36.07	   -0.00	    0.03	    0.03	    0.00	  15.335	  15.373	   6.078	   0.164	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       2	 15:30:21	  10.000	   7.005	  104.92	 1004.95	   13.97	   827.7	  -398.0	   272.3	   562.4	   517.8	   208.5	 247.984	   1.219	   244.8	    20.0	  225908	   37.31	   -0.00	    0.03	    0.03	    0.00	  15.290	  15.294	   5.308	   0.164	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       3	 15:31:03	  10.000	   3.000	  104.29	 1004.94	   13.98	   754.5	  -385.9	   302.9	   502.9	   510.8	   225.4	 246.959	   1.219	   243.3	    20.0	  225213	   38.31	   -0.00	    0.03	    0.03	    0.00	  15.208	  15.169	   4.166	   0.164	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       4	 15:31:27	  10.000	   0.005	  104.63	 1004.94	   13.99	   761.2	   -18.5	   395.1	   402.6	   521.8	    11.8	 246.950	   1.219	   244.1	    20.0	  225572	   38.82	   -0.00	    0.03	    0.04	    0.00	  15.175	  15.106	   3.637	   0.164	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       5	 15:32:07	  10.000	  -4.000	  105.31	 1004.85	   14.00	   835.2	   263.1	   470.1	   296.9	   570.8	  -137.2	 248.028	   1.219	   245.7	    20.1	  226294	   37.87	   -0.00	    0.03	    0.04	    0.00	  15.116	  15.007	   2.899	   0.164	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       6	 15:32:50	   6.005	  -4.000	  104.44	 1004.82	   14.00	   514.5	   318.5	   410.2	   229.8	   343.2	  -175.1	 245.939	   1.219	   243.6	    20.0	  225348	   41.24	   -0.00	    0.03	    0.03	    0.00	  15.080	  14.926	   2.281	   0.164	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       7	 15:33:17	   6.005	  -0.005	  104.94	 1004.82	   14.00	   509.5	   -50.6	   309.2	   334.9	   334.1	    25.7	 245.979	   1.219	   244.8	    20.0	  225887	   41.00	   -0.00	    0.03	    0.04	    0.00	  15.051	  14.876	   1.966	   0.163	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       8	 15:33:40	   6.005	   3.000	  104.62	 1004.80	   14.00	   503.3	  -441.6	   211.9	   437.6	   324.4	   260.6	 245.991	   1.219	   244.1	    20.0	  225540	   40.18	   -0.00	    0.03	    0.03	    0.00	  15.048	  14.838	   1.734	   0.161	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       9	 15:34:33	   6.005	   7.000	  104.66	 1004.80	   14.01	   564.9	  -457.9	   170.9	   493.1	   329.0	   241.0	 247.013	   1.219	   244.2	    20.0	  225575	   38.61	   -0.00	    0.03	    0.03	    0.00	  14.997	  14.753	   1.368	   0.161	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
