  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
      10	 15:35:34	   6.005	  10.000	  104.08	 1004.80	   14.02	   549.1	  -774.1	    70.0	   603.4	   307.6	   383.2	 246.971	   1.219	   242.8	    20.0	  224942	   36.91	   -0.00	    0.03	    0.03	    0.00	  14.930	  14.667	   1.107	   0.161	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      11	 15:36:00	   3.000	  10.000	  104.42	 1004.76	   14.02	   467.4	  -833.4	   -60.0	   506.8	   231.0	   425.0	 246.993	   1.219	   243.6	    20.0	  225296	   37.63	   -0.00	    0.03	    0.03	    0.00	  14.909	  14.636	   1.030	   0.161	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      12	 15:36:29	   3.000	   7.000	  104.90	 1004.81	   14.02	   484.1	  -460.9	    46.5	   374.3	   269.4	   245.2	 246.994	   1.219	   244.7	    20.0	  225822	   39.48	   -0.00	    0.03	    0.03	    0.00	  14.903	  14.615	   0.965	   0.161	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      14	 15:37:52	   3.000	   2.995	  104.66	 1004.74	   14.02	   414.7	  -403.3	    98.7	   306.9	   260.0	   240.8	 244.983	   1.219	   244.2	    20.0	  225558	   40.68	   -0.00	    0.03	    0.04	    0.00	  14.897	  14.567	   0.857	   0.160	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      15	 15:38:20	   3.000	   0.005	  104.81	 1004.69	   14.02	   421.3	   -51.5	   183.7	   212.8	   271.1	    23.2	 244.970	   1.219	   244.5	    20.0	  225717	   41.37	   -0.00	    0.03	    0.03	    0.00	  14.884	  14.543	   0.836	   0.159	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      16	 15:38:49	   3.000	  -4.000	  104.27	 1004.67	   14.02	   428.1	   322.0	   284.6	   103.2	   283.7	  -178.0	 244.966	   1.219	   243.3	    20.0	  225133	   41.43	   -0.00	    0.03	    0.03	    0.00	  14.884	  14.527	   0.819	   0.158	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      17	 15:39:14	   0.000	  -4.000	  104.70	 1004.64	   14.02	   383.9	   399.9	   166.6	   -56.4	   276.7	  -227.5	 244.982	   1.219	   244.2	    20.0	  225586	   41.18	   -0.00	    0.03	    0.03	    0.00	  14.892	  14.523	   0.807	   0.158	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      18	 15:39:58	   0.000	  -0.005	  104.11	 1004.61	   14.02	   375.6	   -70.0	    33.7	    77.0	   269.1	    27.1	 243.861	   1.219	   242.9	    20.0	  224944	   41.08	   -0.00	    0.03	    0.04	    0.00	  14.898	  14.518	   0.791	   0.157	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      19	 15:40:27	   0.000	   3.000	  104.01	 1004.58	   14.02	   364.1	  -453.1	   -55.6	   179.9	   251.4	   275.5	 243.883	   1.219	   242.6	    20.0	  224833	   40.58	   -0.00	    0.03	    0.03	    0.00	  14.901	  14.507	   0.783	   0.157	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      20	 15:41:13	   0.000	   7.000	  104.27	 1004.58	   14.04	   380.0	  -806.0	  -154.3	   305.1	   237.0	   451.1	 245.651	   1.219	   243.3	    20.0	  225102	   39.48	   -0.00	    0.03	    0.03	    0.00	  14.882	  14.495	   0.773	   0.157	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      21	 15:41:45	   0.000	  10.000	  104.00	 1004.55	   14.04	   427.1	  -879.9	  -216.1	   377.2	   235.5	   455.4	 245.986	   1.219	   242.6	    20.0	  224798	   37.91	   -0.00	    0.03	    0.03	    0.00	  14.876	  14.485	   0.767	   0.157	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      22	 15:42:09	  -3.000	  10.000	  104.08	 1004.56	   14.04	   441.0	  -931.4	  -397.5	   232.2	   329.6	   481.0	 245.983	   1.219	   242.8	    20.0	  224882	   37.80	   -0.00	    0.03	    0.03	    0.00	  14.864	  14.473	   0.763	   0.157	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      23	 15:42:39	  -3.000	   6.995	  104.44	 1004.54	   14.05	   456.4	  -555.3	  -286.6	    96.5	   354.9	   304.2	 246.009	   1.218	   243.7	    20.0	  225269	   39.30	   -0.00	    0.03	    0.03	    0.00	  14.852	  14.459	   0.760	   0.157	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      24	 15:43:31	  -3.000	   3.000	  104.85	 1004.47	   14.06	   379.5	  -492.6	  -229.2	    31.3	   331.7	   297.5	 244.485	   1.218	   244.6	    20.0	  225692	   40.41	   -0.00	    0.03	    0.03	    0.00	  14.869	  14.457	   0.756	   0.157	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      25	 15:44:02	  -3.000	   0.005	  104.79	 1004.44	   14.06	   392.2	   -65.3	  -127.1	   -86.9	   350.7	    24.5	 244.277	   1.218	   244.5	    20.0	  225623	   40.79	   -0.00	    0.03	    0.03	    0.00	  14.877	  14.460	   0.753	   0.157	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      26	 15:44:32	  -3.000	  -4.000	  104.27	 1004.49	   14.07	   365.6	   595.0	    61.6	  -267.5	   338.3	  -336.8	 244.244	   1.218	   243.3	    20.0	  225061	   40.56	   -0.00	    0.03	    0.03	    0.00	  14.876	  14.457	   0.749	   0.157	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      27	 15:46:28	  -3.000	  -4.000	  414.49	 1004.42	   14.61	  1352.2	  2273.7	   212.0	 -1052.5	  1278.9	 -1288.6	 473.310	   1.216	   971.4	    40.0	  448641	   81.03	   -0.00	    0.03	    0.03	    0.00	  15.220	  14.612	   0.743	   0.154	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      28	 15:47:08	  -3.000	  -0.005	  415.77	 1004.41	   14.74	  1375.0	  -181.5	  -485.9	  -379.1	  1298.6	    95.8	 473.101	   1.215	   974.4	    40.0	  449088	   81.37	   -0.00	    0.03	    0.03	    0.00	  15.386	  14.695	   0.742	   0.154	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      29	 15:47:36	  -3.000	   3.000	  415.29	 1004.40	   14.80	  1332.1	 -2026.4	  -956.2	   155.4	  1225.7	  1178.1	 473.096	   1.215	   973.3	    40.0	  448697	   80.58	   -0.00	    0.03	    0.03	    0.00	  15.484	  14.742	   0.742	   0.154	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      30	 15:48:04	  -3.000	   7.005	  410.78	 1004.43	   14.86	  1094.2	 -4579.6	 -1578.3	   931.1	  1013.1	  2546.9	 473.074	   1.215	   962.6	    39.8	  446122	   77.91	   -0.00	    0.03	    0.03	    0.00	  15.564	  14.792	   0.739	   0.154	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      31	 15:48:53	  -3.000	   9.995	  413.86	 1004.34	   14.94	   927.1	 -5810.1	 -1940.1	  1438.6	   814.2	  3089.2	 475.699	   1.214	   969.9	    40.0	  447626	   75.45	   -0.00	    0.03	    0.03	    0.00	  15.675	  14.865	   0.739	   0.154	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      32	 15:49:24	  -0.005	   9.995	  413.75	 1004.29	   14.98	   906.7	 -5587.6	 -1198.8	  2006.9	   470.8	  2973.8	 475.688	   1.214	   969.6	    40.0	  447480	   75.52	   -0.00	    0.03	    0.03	    0.00	  15.722	  14.905	   0.739	   0.154	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      33	 15:49:54	  -0.005	   7.005	  415.51	 1004.27	   15.00	  1079.3	 -4370.9	  -843.3	  1516.8	   677.7	  2435.6	 475.679	   1.214	   973.8	    40.1	  448384	   78.82	   -0.00	    0.03	    0.03	    0.00	  15.782	  14.940	   0.738	   0.154	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      34	 15:50:35	  -0.005	   3.000	  415.12	 1004.28	   15.06	  1324.6	 -1791.3	  -225.1	   723.2	   914.4	  1077.5	 473.521	   1.214	   972.9	    40.0	  448059	   81.22	   -0.00	    0.03	    0.03	    0.00	  15.868	  14.997	   0.735	   0.154	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      35	 15:51:07	  -0.005	   0.005	  414.09	 1004.24	   15.10	  1338.2	  -105.3	   208.9	   241.3	   963.6	   105.5	 472.517	   1.214	   970.4	    40.0	  447412	   81.90	   -0.00	    0.03	    0.03	    0.00	  15.944	  15.041	   0.735	   0.154	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      36	 15:51:48	  -0.005	  -4.000	  413.44	 1004.23	   15.13	  1304.6	  2153.8	   823.9	  -347.9	   935.0	 -1223.6	 473.017	   1.214	   968.9	    40.0	  446989	   81.99	   -0.00	    0.03	    0.03	    0.00	  16.030	  15.126	   0.735	   0.154	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      37	 15:52:32	   3.000	  -4.000	  413.46	 1004.19	   15.16	  1458.8	  1946.1	  1349.2	   300.5	   844.8	 -1081.6	 473.823	   1.213	   968.9	    40.0	  446946	   82.24	   -0.00	    0.03	    0.03	    0.00	  16.121	  15.189	   0.733	   0.154	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      38	 15:52:58	   3.000	  -0.005	  415.10	 1004.13	   15.16	  1481.5	  -129.2	   787.2	   864.2	   855.3	    69.5	 473.821	   1.213	   972.8	    40.0	  447823	   82.12	   -0.00	    0.03	    0.03	    0.00	  16.157	  15.205	   0.732	   0.154	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      39	 15:53:24	   3.000	   3.000	  414.22	 1004.15	   15.18	  1473.3	 -1614.1	   410.7	  1272.7	   811.7	   939.9	 473.801	   1.213	   970.7	    40.0	  447313	   81.16	   -0.00	    0.03	    0.03	    0.00	  16.189	  15.212	   0.732	   0.154	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      40	 15:54:10	   3.000	   7.000	  414.22	 1004.18	   15.20	  1261.9	 -4018.5	  -155.9	  2006.2	   573.8	  2207.0	 475.883	   1.213	   970.7	    40.0	  447281	   78.31	   -0.00	    0.03	    0.03	    0.00	  16.237	  15.249	   0.732	   0.154	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      41	 15:54:45	   3.000	  10.000	  413.42	 1004.14	   15.24	  1074.3	 -5364.3	  -528.5	  2531.8	   335.6	  2827.1	 476.526	   1.213	   968.9	    40.0	  446752	   74.82	   -0.00	    0.03	    0.03	    0.00	  16.262	  15.284	   0.732	   0.154	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      42	 15:55:27	   6.000	  10.000	  413.33	 1004.18	   15.24	  1442.3	 -5085.9	    38.5	  2939.3	   473.8	  2624.0	 477.312	   1.213	   968.6	    40.0	  446710	   73.50	   -0.00	    0.03	    0.03	    0.00	  16.291	  15.336	   0.732	   0.154	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      43	 15:55:56	   6.000	   6.995	  414.81	 1004.15	   15.24	  1631.0	 -3784.1	   410.0	  2439.1	   670.0	  2051.3	 477.293	   1.213	   972.1	    40.0	  447507	   76.86	   -0.00	    0.03	    0.03	    0.00	  16.305	  15.359	   0.731	   0.154	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      44	 15:56:41	   6.000	   3.000	  415.03	 1004.13	   15.25	  1832.4	 -1666.3	   927.0	  1810.5	   850.6	   951.1	 474.984	   1.213	   972.6	    40.0	  447596	   80.26	   -0.00	    0.03	    0.03	    0.00	  16.332	  15.384	   0.731	   0.152	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      45	 15:57:12	   6.000	   0.005	  414.65	 1004.12	   15.28	  1842.8	   -73.3	  1331.4	  1374.3	   885.1	    35.9	 474.678	   1.213	   971.7	    40.0	  447342	   81.66	   -0.00	    0.03	    0.03	    0.00	  16.368	  15.401	   0.729	   0.151	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      46	 15:57:40	   6.000	  -4.000	  413.65	 1004.08	   15.29	  1811.4	  2018.5	  1896.9	   811.1	   877.0	 -1110.6	 474.674	   1.213	   969.4	    40.0	  446772	   82.10	   -0.00	    0.03	    0.03	    0.00	  16.397	  15.421	   0.728	   0.151	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      47	 15:58:21	  10.000	  -4.000	  413.19	 1004.06	   15.30	  2881.5	  1949.1	  2262.1	  1197.2	  1256.8	 -1056.5	 477.030	   1.213	   968.3	    40.0	  446480	   76.98	   -0.00	    0.03	    0.03	    0.00	  16.444	  15.470	   0.728	   0.151	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      48	 15:58:47	  10.000	  -0.005	  414.71	 1004.06	   15.32	  2906.5	   -28.9	  1717.5	  1719.8	  1265.4	    29.9	 476.971	   1.213	   971.9	    40.0	  447279	   77.53	   -0.00	    0.03	    0.03	    0.00	  16.472	  15.497	   0.728	   0.151	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      49	 15:59:13	  10.000	   3.000	  414.04	 1003.99	   15.32	  2908.5	 -1440.1	  1367.5	  2115.9	  1219.9	   833.9	 476.956	   1.212	   970.3	    40.0	  446895	   76.54	   -0.00	    0.03	    0.03	    0.00	  16.483	  15.509	   0.728	   0.151	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      50	 16:00:00	  10.000	   7.000	  413.45	 1004.08	   15.34	  2630.6	 -3571.9	   985.0	  2902.5	   986.8	  1906.0	 478.870	   1.212	   968.9	    40.0	  446554	   73.52	   -0.00	    0.03	    0.03	    0.00	  16.469	  15.517	   0.728	   0.151	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      51	 16:00:20	  10.000	   7.000	  413.71	 1004.09	   15.36	  2773.9	 -3487.8	   902.9	  2768.1	  1063.7	  1885.9	 478.816	   1.212	   969.5	    40.0	  446661	   74.07	   -0.00	    0.03	    0.03	    0.00	  16.471	  15.530	   0.728	   0.151	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      52	 16:00:46	  10.000	  10.000	  412.93	 1004.08	   15.38	  2447.1	 -4838.0	   611.6	  3384.1	   844.3	  2457.0	 478.836	   1.212	   967.7	    40.0	  446194	   70.97	   -0.00	    0.03	    0.03	    0.00	  16.475	  15.543	   0.728	   0.151	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
