run,AoA,AoS,dPb,pBar,pInf,temp,nu,rpmWT,rho,q,V,Re,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CN,CT,CY,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,CLalpha,CMalpha,Thrust
54,10.386163631272405,10,413.58,100395,100395,288.34,1.47589465940411e-05,478.917,1.21296882417005,969.226605335018,41.18685342681859,446866.52301596,16.4491921988235,-34.7213851439099,271.251251353331,0.767544108798204,-19.2597569646124,-8.90842702878589,0.0781483889163972,-0.164957663400416,1.28868627885177,1.28267856393662,-0.146816884616707,0.164957663400416,1.214047446929268,0.10488916730593018,0.148881260512569,-0.0379537826274656,-0.5386758777637191,-0.5386758777637191,-0.036434748337273,4.95478328094729,-3.78568425594454,7.070540267432325
55,10.386163631272405,7,415.16,100392,100392,288.43,1.47675743009734e-05,478.711,1.2125541019321,972.957726929162,40.89997534420926,447540.76134047,14.5783318143783,-33.2025368922686,263.848020397038,-3.11794014209877,-17.7850149984382,-10.4383998375289,0.0689945268268642,-0.15713686253692,1.24870729746624,1.24171740164015,-0.148889401709906,0.15713686253692,1.1979464347196864,0.08946813871549085,0.147557270509073,-0.0478795395443648,-0.5035689584934137,-0.5035689584934137,-0.0431498009046472,4.63133120853614,-3.40394975978676,13.291295165640868
56,10.386163631272405,3,414.86,100388,100388,288.47,1.47718019293768e-05,476.297,1.21233765994981,972.249268350816,40.63832456189858,447289.678317981,16.6568298532729,-12.4940365716277,249.697524339591,-0.162101880440033,-17.5020419674552,-3.45944113322108,0.0788888282808182,-0.059173318951789,1.18259868734271,1.17833125726641,-0.127665777251367,0.059173318951789,1.1485497931507356,0.08492018062339834,0.054963501709747,-0.014928981032743,-0.5051157984988537,-0.5051157984988537,-0.014145841555639,3.87220836742925,-3.52801838721819,11.328038498360804
57,10.386163631272405,0,413.86,100381,100381,288.5,1.47755618474902e-05,475.23,1.21212706679462,969.88779991292,40.50166435416053,446671.257552122,16.9045447286079,0.411928952619151,247.903468955034,1.26774170327128,-17.2140457035319,1.52707946365978,0.0802569707552597,0.0019556971473861,1.17696050248436,1.17301630455246,-0.125339359409309,-0.0019556971473861,1.1482051516911074,0.08369593656799075,-0.0019627008818673,0.0038855626289893,-0.5008878855295801,-0.5008878855295801,0.0057871059041506,3.8696888345374,-3.60578580284269,11.04243068701071
58,10.386163631272405,-4,413.44,100373,100373,288.52,1.47785596273637e-05,475.653,1.21194644759857,968.896010766996,40.687666470977476,446385.520127645,16.867625306116,17.9454926209435,251.319865835229,3.22196498575433,-17.6636983695828,8.54614711597636,0.0801636638862366,0.0852862458485273,1.19440175407764,1.19017638177599,-0.128459890292737,-0.0852862458485273,1.153582343817281,0.08838132934856371,-0.0794865583249989,0.0294205367271327,-0.508805391567082,-0.508805391567082,0.0337490598463077,3.95793271079745,-3.41915288185644,11.334741757377977
59,6.317018057788681,-4,414.35,100371,100371,288.53,1.4779764219381e-05,473.666,1.21188029540728,971.044907883542,40.73187702889809,446856.0348325,6.81858308465738,18.916310368091,193.60736008883,2.94890786901777,-9.86717903502098,9.22419353753812,0.03233371475492,0.0897011264750355,0.91808592457444,0.916430775412847,-0.0638894974762283,-0.0897011264750355,0.8867966993250211,0.04083893783820331,-0.0872271331149535,0.0318250719184742,-0.27900194753650487,-0.27900194753650487,0.0344774771767908,4.87997511246185,-3.01439638044678,10.610599685487
60,6.317018057788681,0,413.74,100367,100367,288.55,1.47821736102831e-05,472.601,1.21174800478013,969.604429919639,40.50078004782546,446476.061102165,6.78968583127479,-1.04318337533131,190.944801638635,0.822837051637761,-8.93409498116817,1.36685078118239,0.0322445165160315,-0.0049541237122019,0.906805257722999,0.905202676681593,-0.0627980764666032,0.0049541237122019,0.8847071298208793,0.035097604553605215,0.004956937558229,0.0009077535271013,-0.25603258607186347,-0.25603258607186347,0.0047173787987492,4.81422837989393,-3.06109252515138,10.553239190482236
61,6.317018057788681,3,413.1,100369,100369,288.55,1.47818790537246e-05,472.666,1.21177215112315,968.093145796623,40.55911313208388,446132.418056344,6.58705815095758,-14.3519957667183,191.795577694506,-0.558540215754974,-9.34907006852843,-4.14722432238502,0.0313310632444557,-0.0682646602999616,0.912267546003053,0.910539430984639,-0.0642779560707242,0.0682646602999616,0.8860770709250528,0.03749927830318828,0.0665313648005229,-0.0195492031436983,-0.2666378316692242,-0.2666378316692242,-0.0160921162934666,4.80940099155646,-2.98960924946131,10.63492002881492
62,6.317018057788681,7,412.83,100370,100370,288.57,1.47835521712949e-05,474.721,1.21170023883364,967.455584176821,40.79183445590161,445948.246565035,4.73671219345576,-34.559614848574,194.424089827476,-3.37327589645897,-9.90101315048943,-11.1732077594742,0.0225448184747628,-0.164489673743589,0.925379384108946,0.922660146211508,-0.0743876869305077,0.164489673743589,0.8880536116402965,0.044351144859029565,0.160516070434228,-0.0535569995275489,-0.27644279710547026,-0.27644279710547026,-0.0434723429523043,5.17087520039385,-2.83068300589133,10.653543050892283
63,6.317018057788681,10,413.14,100368,100368,288.59,1.47856672697664e-05,475.737,1.21159212201721,968.187599943728,41.19842252273733,446073.009956577,3.00125411130069,-48.6666734065522,198.229270839005,-3.86383899429138,-10.695699614998,-14.9491023088567,0.0142739454589873,-0.231458389098023,0.942777150950583,0.939097188041859,-0.0844332475114974,0.231458389098023,0.8877300982825472,0.0547211774844332,0.225463371466379,-0.0726393370415735,-0.29032899680977553,-0.29032899680977553,-0.0582280155610265,5.33853433016974,-2.87381593265051,10.73475414214156
64,3.2202059090365767,10,415.38,100364,100364,288.61,1.47880772193224e-05,475.699,1.2114598788621,973.477268513729,41.31168553504398,447241.419986579,-0.216543099645686,-50.1342012637215,134.554124469297,-3.60150343282153,-7.87666182002503,-16.0065221507671,-0.0010242814682334,-0.237142321150574,0.63646126980629,0.635535415005858,-0.0343326868929902,0.237142321150574,0.5993395345105266,0.039583576718243974,0.233717461046773,-0.0760916999135592,-0.2097059031084039,-0.2097059031084039,-0.0581209949627074,6.13066510989918,-1.89679605545755,10.279665126172631
65,3.2202059090365767,7,413.98,100368,100368,288.68,1.4793860608317e-05,474.136,1.21121439134317,970.171171238902,40.85600338739953,446352.001926242,1.50787714612778,-35.1592753309281,129.989602364559,-3.47955501917723,-6.3188033320609,-11.5651051896415,0.0071567916593133,-0.166875404327246,0.616965715270081,0.616494742734806,-0.025142507152696,0.166875404327246,0.592115742759001,0.02809112789779688,0.16475934686819,-0.0567218350781964,-0.17371612477450082,-0.17371612477450082,-0.0422184037346656,6.11908007475013,-1.98811280874009,10.22628371167748
66,3.2202059090365767,3,414.28,100363,100363,288.71,1.47973292518739e-05,471.815,1.21102820104864,970.879605384417,40.62885938048942,446444.586669463,3.42073864051827,-14.044159670843,125.457261588373,-0.499505301423754,-5.38647735785312,-4.18891879720684,0.0162239013268048,-0.0666087312309617,0.59501951088333,0.595053150713244,-0.0149392480513967,0.0666087312309617,0.5779670285335502,0.020879399305395865,0.0656683528898382,-0.0196976238034577,-0.15216301861158454,-0.15216301861158454,-0.0152369304451842,6.24289243346978,-2.13553510366041,10.273662062747903
67,3.2202059090365767,0,414.96,100356,100356,288.71,1.4798361390508e-05,471.805,1.21094373568384,972.485420284779,40.57287945737408,446798.057026878,3.71599355618303,0.253841439097255,124.349454948361,0.81898667386536,-4.84491919375299,1.46771417547963,0.0175951362550546,0.0012019328452988,0.588791549279646,0.588905489205691,-0.0132439460269862,-0.0012019328452988,0.5744854536073617,0.01892344239776287,-0.0012034683060202,0.0028507481312718,-0.13782256794745534,-0.13782256794745534,0.0051184913136814,6.21330201919171,-2.0737096045298,10.032363573101215
68,3.2202059090365767,-4,413.26,100357,100357,288.71,1.47982139333162e-05,471.808,1.21095580216452,968.470963273511,40.6923335165187,445877.125064617,3.55424262257662,18.6408791453579,125.815012680836,2.47246730014828,-5.49582299657993,9.32102475771948,0.0168990093998925,0.0886299629346342,0.59820032218276,0.598264935247908,-0.014431535991444,-0.0886299629346342,0.5778428706576436,0.024012192181126806,-0.0872352494939464,0.0316914386862944,-0.15490687726550606,-0.15490687726550606,0.0333479581666849,6.23507670801626,-2.09677414489135,10.19454081940892
69,0.11354562791141283,-4,415.05,100353,100353,288.73,1.48006251498369e-05,471.826,1.21082365804857,972.697957816636,40.782525954971675,446800.686079837,2.11692344512379,20.9806766241916,56.0104694106416,2.00922577088259,-2.45091646162627,10.6376448078483,0.0100213892162083,0.0993212706650967,0.265150218558682,0.265150218558682,0.0100213892162083,-0.0993212706650967,0.25613613311804,0.01681674715623008,-0.0983802722678861,0.0348045528839949,-0.06926686364806216,-0.06926686364806216,0.036057817523909,6.55465304833004,-2.01423391497385,9.96695531897471
70,0.11354562791141283,0,414.58,100344,100344,288.79,1.48074177426458e-05,470.812,1.21046352493374,971.588047859306,40.56238756365525,446407.247887017,2.18825844110842,-0.260655768199016,54.0474725612771,0.485554398906161,-1.60756804531216,1.8345549206489,0.0103709187036342,-0.0012353384457898,0.256149791788755,0.256149791788755,0.0103709187036342,0.0012353384457898,0.24992369814831347,0.01058559539103884,0.001236243474474,0.0012995523993275,-0.046512521124761924,-0.046512521124761924,0.0062255899103174,6.54780462788326,-1.96876702680888,10.09240003926258
71,0.11354562791141283,3,413.94,100344,100344,288.83,1.48110615635706e-05,470.834,1.21029588811971,970.076713982163,40.6239327307411,445981.056147936,2.04628219805736,-14.4147091142168,54.4613400533992,-0.425443344088549,-1.80731617803782,-4.50365603183162,0.0097131529477279,-0.0684227593126293,0.25851337913172,0.25851337913172,0.0097131529477279,0.0684227593126293,0.2511097718162763,0.013367322770392253,0.0678206411513419,-0.0207311555364589,-0.051771620522515924,-0.051771620522515924,-0.0153070355040617,6.56099946420393,-2.02496987546837,10.11469299933894
72,0.11354562791141283,7,412.85,100347,100347,288.85,1.48124407498593e-05,472.841,1.21024826902036,967.502810732102,40.81578733122759,445356.293884327,-0.189189199115076,-38.0816062375421,59.7960280428884,-3.34701521818258,-2.91364920798807,-13.1579843990562,-0.0009004194848608,-0.181244069066679,0.284590817123523,0.284590817123523,-0.0009004194848608,0.181244069066679,0.273131812505477,0.02080786128620403,0.180002836791355,-0.0624902849578666,-0.07902768147687853,-0.07902768147687853,-0.0448403596557192,6.55898434196176,-2.15760918689492,10.097434335120175
73,0.11354562791141283,10,410.89,100342,100342,288.87,1.48150010037876e-05,472.816,1.21010417813666,962.874784268013,41.109329032937175,444239.507645215,-1.90918220892397,-51.4913972171706,62.8943087449924,-3.26504292187848,-4.01208426284985,-16.8746832317419,-0.0091301591143701,-0.246243992541167,0.300775401921299,0.300775401921299,-0.0091301591143701,0.246243992541167,0.2832295664909954,0.032265341969886945,0.244088428479241,-0.0805848379203159,-0.10569279590048201,-0.10569279590048201,-0.0577826920073001,6.5436804737692,-2.27576646635842,10.24906734760346
74,-2.9980387194002804,10,412.38,100348,100348,288.89,1.48159373173592e-05,473.854,1.21009275578999,966.392996470025,41.18405451528976,445024.337460947,-1.59574922338648,-53.7365306386943,-10.2399020099746,-2.93761610622265,0.368080604942819,-17.6795762463234,-0.0076034667117352,-0.25604519552788,-0.0487913469881202,-0.0483265454416754,-0.0101465882258666,0.25604519552788,-0.045946212434500026,0.034817939781748915,0.253475621815827,-0.0852337176248731,0.012053051940391158,0.012053051940391158,-0.0557749781387204,6.67623312353971,-2.41593232339353,10.100881878310503
75,-2.9980387194002804,7,414.04,100345,100345,288.91,1.48182025365162e-05,473.844,1.20997281187655,970.312857401655,40.87914128619475,445879.903554224,0.127055541097416,-40.0765606052557,-14.7272973568666,-3.29608067712837,1.4709931239384,-13.9674594396471,0.0006029518125314,-0.190186391307706,-0.0698895188538374,-0.069825293756906,-0.0030556093125471,0.190186391307706,-0.06707716391018857,0.02283553099853118,0.188693213849225,-0.0671997068005406,0.04047106184906223,0.04047106184906223,-0.0438790722379595,6.77007572396072,-2.40532009034043,9.932605533723176
76,-2.9980387194002804,3,414.02,100335,100335,288.97,1.48251472642715e-05,471.409,1.20960102413007,970.265628643718,40.638568424226435,445728.672801298,2.51486533632549,-14.6466417564501,-19.3953806567656,-0.505961744173046,1.94660204008121,-4.70038753656426,0.0119350672105628,-0.069510144836496,-0.0920467463483247,-0.0925452326367884,0.0071013561265576,0.069510144836496,-0.08941494982298855,0.015111936454585374,0.0687902504435044,-0.022117703771883,0.05115142991144947,0.05115142991144947,-0.0147931353833765,6.6952052185277,-2.05059994273471,9.754954099648334
77,-2.9980387194002804,0,414.91,100336,100336,288.97,1.48249995092557e-05,471.397,1.20961307975397,972.367344202112,40.592622062838316,446213.387023648,2.59887999411826,0.399613213988434,-20.4607596296769,0.161957311010654,2.28636390720606,2.22654747037592,0.0123071258588422,0.0018923883097883,-0.0968929479236633,-0.0974042647064318,0.0072192742877988,-0.0018923883097883,-0.09453918309422432,0.012008134023073627,-0.0018934623019197,0.0014761800671786,0.06067290067234467,0.06067290067234467,0.0074621630204474,6.74261965775241,-2.12494966612112,9.993269389179337
78,-2.9980387194002804,-4,413.39,100343,100343,289.01,1.48276106713709e-05,471.407,1.20953004273893,968.777941718023,40.72214505903115,445325.90015611,2.46754598126053,22.3567163067839,-18.5566101329312,1.34816710309405,1.77322064998325,11.1986889475775,0.0117284816749195,0.106263607449187,-0.0882013399326927,-0.0886942843654497,0.007096306731116,-0.106263607449187,-0.08520232913921741,0.01846276518150748,-0.105186617118216,0.0364863631874583,0.04618073066783766,0.04618073066783766,0.0361513730756371,6.74851766197528,-2.30964058539889,9.971001502217545
