run,AoA,AoS,dPb,pBar,pInf,temp,nu,rpmWT,rho,q,V,Re,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CN,CT,CY,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,CLalpha,CMalpha,Thrust
79,-2.9980387194002804,-4,411.79,100343,100343,289.03,1.48294334793549e-05,471.4,1.20944634692585,964.999854315025,41.592742868592694,444417.444670373,9.01580877538974,20.9155535918153,-19.5886795277637,1.14344638676488,2.70269833465992,9.25955485228267,0.0430207745410406,0.099802839422539,-0.0934713885925546,-0.0955948226769642,0.0380699015613537,-0.099802839422539,-0.0862212288851355,0.0460092069207622,-0.0965587471920548,0.0336483664441461,0.06094597856527885,0.06094597856527885,0.0298325883851095,6.61836251019583,-2.19211871043916,3.467766564537111
80,-2.9980387194002804,0,413.27,100350,100350,289.03,1.48283990395507e-05,471.392,1.20953071877469,968.494576944482,41.47363160157773,445236.969911377,9.16641872384208,-1.00849018744703,-20.8659645420683,0.0584968921472092,3.02722744490383,0.321858873714865,0.0435816109922339,-0.0047948526423391,-0.0992069397053469,-0.101351865328262,0.0383297938536139,0.0047948526423391,-0.09236516445002224,0.04057576852337877,0.0047986558371025,-0.0010933744713993,0.06981170704356111,0.06981170704356111,0.0011514428170161,6.59219241659734,-2.04547112835644,3.4379245105279317
81,-2.9980387194002804,3,412.85,100348,100348,289.03,1.4828694579054e-05,471.414,1.20950661253216,967.502810732102,41.54304266211303,445004.509218762,8.64436229754175,-18.3225321167893,-18.9455770472641,-0.88483111754628,2.55200472725946,-6.62642625878917,0.0411416311465484,-0.0872035243402628,-0.0901688193886447,-0.0921984327629005,0.0363661765849199,0.0872035243402628,-0.08358604263257036,0.042316651460556465,0.0849308283334267,-0.0287379637089103,0.05752074761853529,0.05752074761853529,-0.0210468512861728,6.48625193705121,-1.97778416843583,3.5935044457832914
82,-2.9980387194002804,7,411.52,100348,100348,289.05,1.48305173799391e-05,473.437,1.20942292413136,964.362325429663,41.70804007848705,444242.449681691,6.43055202946641,-41.3029411397583,-14.4755001715373,-3.36864731918451,2.0115742238149,-15.6293718118725,0.0307049788111795,-0.197215717519186,-0.0691184713243286,-0.0706307212890641,0.027045517414048,0.197215717519186,-0.06336458501859933,0.049972964102724914,0.192003705859862,-0.0698077021002781,0.045462972735431754,0.045462972735431754,-0.0497092291777796,6.61176074128316,-2.3096393371747,3.6072804207019704
83,-2.9980387194002804,10,411.93,100350,100350,289.07,1.48320446523837e-05,474.427,1.20936335021776,965.33042750432,42.099625537993234,444430.555288614,4.61658453251838,-54.6277824622662,-10.1125581243573,-3.02193379354427,0.892570980468457,-19.2751793424341,0.0220214330705266,-0.2605783662815,-0.0482376138330696,-0.049324018617375,0.0194666918150174,0.2605783662815,-0.04344887525843368,0.06029099072066739,0.252795613658965,-0.087096960086726,0.01767853252799235,0.01767853252799235,-0.0611861014978911,6.55931527491095,-2.34240376263099,3.873357987012503
84,0.11354562791141283,10,411.87,100351,100351,289.07,1.4831896850721e-05,474.403,1.20937540167118,965.18875305822,42.0964289471824,444400.155424551,4.43482733383813,-52.4535580135403,61.8783336059997,-3.47647466864347,-3.35731145396703,-18.5061573653733,0.021157543580343,-0.250243889124553,0.29520733083759,0.29520548336954,0.021183305199244,0.250243889124553,0.26589963627346236,0.058374715345870326,0.242768153267152,-0.0824131871956808,-0.09142245684111022,-0.09142245684111022,-0.0632101093849679,6.47293515353521,-2.22047322914223,3.90505780484136
85,0.11354562791141283,7,413.23,100344,100344,289.06,1.48320200351219e-05,474.412,1.20933287679242,968.400122316124,41.79682495884504,445142.973303021,6.28459981226423,-39.1854189118103,58.2703324579746,-3.65075179263773,-2.18396192904663,-14.8799585441227,0.029882957254273,-0.186324703769885,0.277072511544148,0.277069902709166,0.0299071362784225,0.186324703769885,0.2540070836136282,0.048474915003590975,0.181294051302927,-0.0649502567302712,-0.06403134587008875,-0.06403134587008875,-0.0506559247822771,6.47653391379456,-2.11351398004256,3.6236453237408695
86,0.11354562791141283,3,414.04,100343,100343,289.05,1.48312563710686e-05,472.409,1.20936266269496,970.312857401655,41.60550408788329,445599.824000398,8.65080145491837,-15.7020617539185,52.564852457229,-0.768380251174155,-1.0415868386461,-6.25603371624872,0.0410530416229035,-0.0745153380421792,0.249450537857566,0.249446954354012,0.0410748101325899,0.0745153380421792,0.23124273310832175,0.04208639606380088,0.0722646671711252,-0.023615161043398,-0.03710638971598809,-0.03710638971598809,-0.021255784790545,6.44233420566422,-1.92290032875377,3.5101737424779316
87,0.11354562791141283,0,414.63,100335,100335,289.06,1.48333504600017e-05,472.409,1.20922440995941,971.706122414922,41.5474989292375,445882.160611327,8.86266896724604,-1.4915997239433,51.9036222947305,0.154150823256632,-0.706963676286945,0.0445258786934676,0.0419981702877769,-0.007068351468264,0.245959448078529,0.245955782110233,0.0420196341388093,0.007068351468264,0.2289980417400688,0.0395694054893893,0.0070646864095977,-0.0014691730637777,-0.028531866647907297,-0.028531866647907297,0.0001512090922537,6.48088924905869,-1.90210189197546,3.41798951312496
88,0.11354562791141283,-4,413.1,100332,100332,289.07,1.48347055861211e-05,472.39,1.20914642405629,968.093145796623,41.663935878169575,445026.149797697,8.78586114922959,19.6912466196308,53.2045652059091,1.5513936979211,-1.28183245708517,8.80452923979838,0.0417895766235951,0.0936605809548135,0.253065262087868,0.253061614295746,0.0418116605746734,-0.0936605809548135,0.23344264271351564,0.04494901227811791,-0.09051733498245,0.0316848133880953,-0.043560587884470994,-0.043560587884470994,0.0299834015206229,6.47614968917061,-1.92640769785857,3.298017614868911
89,3.2202059090365767,-4,411.28,100339,100339,289.09,1.48354937969511e-05,472.384,1.20914712649148,963.795638751093,41.57167556020295,444013.562363322,10.174382297234,17.8085668362373,122.383893879723,1.93674260070404,-4.2124037221015,7.6645328982457,0.0486098047153759,0.0850833918837073,0.584709420975652,0.586452137648094,0.0179418599964078,-0.0850833918837073,0.5393626105083726,0.05196141796372712,-0.0814852844510197,0.0291923163637235,-0.12248007251727228,-0.12248007251727228,0.0277118744422699,6.15938255723434,-1.95472236690018,3.3857451391239524
90,3.2202059090365767,0,412.83,100336,100336,289.05,1.48322910823845e-05,472.437,1.20927829668399,967.455584176821,41.45548566680339,444927.742966521,10.2372410723291,-1.90519330439513,121.747866075432,0.202895381655027,-3.83012267605003,-0.161635842753401,0.0487250928981742,-0.0090679432172941,0.579470195413715,0.581226125979992,0.0183311900605148,0.0090679432172941,0.5395129347270018,0.047120450518932995,0.0090721952492576,-0.0018329724821507,-0.1129789256185481,-0.1129789256185481,-0.0006460320815707,6.16616303543004,-1.98619470007221,3.3660100076091664
91,3.2202059090365767,3,412.06,100340,100340,289.03,1.48298768548825e-05,472.404,1.20941018756206,965.637389947179,41.5047270688349,444557.578857836,9.91697998825071,-15.5500356339851,122.567729666635,-0.936623312915782,-4.3596947127249,-5.67651680149159,0.047289654870419,-0.074151185060885,0.584470841027521,0.58614479336097,0.016636005680658,0.074151185060885,0.5417989651848816,0.0491303520806751,0.0715746141308097,-0.0230503604077858,-0.12648096026268035,-0.12648096026268035,-0.0205618546892131,6.18542231623485,-2.03480199652373,3.617279207981704
